WBGene00000001,ENSP00000379855
WBGene00000184,ENSP00000298316
WBGene00000187,ENSP00000261636
WBGene00000188,ENSP00000260746
WBGene00000189,ENSP00000366487
WBGene00000192,ENSP00000414192
WBGene00000193,ENSP00000418057
WBGene00000195,ENSP00000377141
WBGene00000197,ENSP00000244571
WBGene00000197,ENSP00000392379
WBGene00000198,ENSP00000397206
WBGene00000199,ENSP00000256001
WBGene00000199,ENSP00000263238
WBGene00000200,ENSP00000367220
WBGene00000201,ENSP00000262942
WBGene00000203,ENSP00000228825
WBGene00000204,ENSP00000388169
WBGene00000205,ENSP00000345361
WBGene00000207,ENSP00000358737
WBGene00000208,ENSP00000261884
WBGene00000209,ENSP00000300688
WBGene00000210,ENSP00000300688
WBGene00000212,ENSP00000340409
WBGene00000217,ENSP00000236671
WBGene00000222,ENSP00000356919
WBGene00000225,ENSP00000260649
WBGene00000227,ENSP00000278616
WBGene00000228,ENSP00000252699
WBGene00000228,ENSP00000355537
WBGene00000228,ENSP00000366035
WBGene00000229,ENSP00000262030
WBGene00000230,ENSP00000290299
WBGene00000231,ENSP00000326966
WBGene00000235,ENSP00000416128
WBGene00000236,ENSP00000224112
WBGene00000240,ENSP00000303500
WBGene00000242,ENSP00000245157
WBGene00000244,ENSP00000337653
WBGene00000246,ENSP00000362993
WBGene00000247,ENSP00000355231
WBGene00000248,ENSP00000217133
WBGene00000248,ENSP00000248151
WBGene00000248,ENSP00000259818
WBGene00000248,ENSP00000264071
WBGene00000248,ENSP00000302777
WBGene00000248,ENSP00000309431
WBGene00000248,ENSP00000318697
WBGene00000248,ENSP00000328808
WBGene00000248,ENSP00000339001
WBGene00000248,ENSP00000341289
WBGene00000248,ENSP00000369703
WBGene00000248,ENSP00000373058
WBGene00000248,ENSP00000388436
WBGene00000248,ENSP00000399155
WBGene00000248,ENSP00000400663
WBGene00000248,ENSP00000401317
WBGene00000248,ENSP00000406811
WBGene00000248,ENSP00000410071
WBGene00000248,ENSP00000410829
WBGene00000248,ENSP00000412971
WBGene00000250,ENSP00000194097
WBGene00000253,ENSP00000317997
WBGene00000253,ENSP00000373691
WBGene00000257,ENSP00000260731
WBGene00000259,ENSP00000338387
WBGene00000262,ENSP00000381053
WBGene00000266,ENSP00000370194
WBGene00000269,ENSP00000320965
WBGene00000270,ENSP00000376530
WBGene00000271,ENSP00000329029
WBGene00000274,ENSP00000265990
WBGene00000276,ENSP00000230340
WBGene00000280,ENSP00000340363
WBGene00000283,ENSP00000345659
WBGene00000289,ENSP00000364860
WBGene00000292,ENSP00000263168
WBGene00000293,ENSP00000364287
WBGene00000294,ENSP00000361883
WBGene00000295,ENSP00000298472
WBGene00000298,ENSP00000378890
WBGene00000301,ENSP00000339191
WBGene00000366,ENSP00000262367
WBGene00000366,ENSP00000263253
WBGene00000367,ENSP00000334198
WBGene00000367,ENSP00000352011
WBGene00000367,ENSP00000383028
WBGene00000368,ENSP00000320025
WBGene00000369,ENSP00000355279
WBGene00000371,ENSP00000258424
WBGene00000372,ENSP00000222982
WBGene00000375,ENSP00000216862
WBGene00000376,ENSP00000264903
WBGene00000377,ENSP00000317334
WBGene00000378,ENSP00000299300
WBGene00000379,ENSP00000377958
WBGene00000380,ENSP00000280326
WBGene00000381,ENSP00000275603
WBGene00000381,ENSP00000327191
WBGene00000382,ENSP00000209728
WBGene00000383,ENSP00000354916
WBGene00000388,ENSP00000321656
WBGene00000390,ENSP00000398592
WBGene00000392,ENSP00000364212
WBGene00000393,ENSP00000355968
WBGene00000396,ENSP00000260147
WBGene00000396,ENSP00000261800
WBGene00000396,ENSP00000298047
WBGene00000396,ENSP00000377862
WBGene00000398,ENSP00000164024
WBGene00000398,ENSP00000271332
WBGene00000398,ENSP00000379296
WBGene00000403,ENSP00000366513
WBGene00000405,ENSP00000362917
WBGene00000407,ENSP00000419782
WBGene00000408,ENSP00000256443
WBGene00000409,ENSP00000357907
WBGene00000410,ENSP00000362362
WBGene00000411,ENSP00000316490
WBGene00000413,ENSP00000301019
WBGene00000415,ENSP00000274473
WBGene00000415,ENSP00000398045
WBGene00000415,ENSP00000414475
WBGene00000416,ENSP00000300574
WBGene00000417,ENSP00000312664
WBGene00000419,ENSP00000381107
WBGene00000420,ENSP00000386732
WBGene00000422,ENSP00000416707
WBGene00000426,ENSP00000396519
WBGene00000428,ENSP00000407978
WBGene00000430,ENSP00000358207
WBGene00000435,ENSP00000261980
WBGene00000437,ENSP00000355140
WBGene00000438,ENSP00000360811
WBGene00000439,ENSP00000297375
WBGene00000443,ENSP00000364190
WBGene00000443,ENSP00000372757
WBGene00000443,ENSP00000390009
WBGene00000443,ENSP00000391745
WBGene00000443,ENSP00000397177
WBGene00000443,ENSP00000403948
WBGene00000443,ENSP00000410710
WBGene00000447,ENSP00000345147
WBGene00000448,ENSP00000420283
WBGene00000451,ENSP00000263610
WBGene00000452,ENSP00000359474
WBGene00000453,ENSP00000260653
WBGene00000454,ENSP00000247182
WBGene00000463,ENSP00000222598
WBGene00000464,ENSP00000353401
WBGene00000466,ENSP00000358497
WBGene00000468,ENSP00000331692
WBGene00000469,ENSP00000226067
WBGene00000472,ENSP00000228251
WBGene00000476,ENSP00000263620
WBGene00000478,ENSP00000354607
WBGene00000478,ENSP00000363826
WBGene00000479,ENSP00000264018
WBGene00000480,ENSP00000216044
WBGene00000482,ENSP00000262450
WBGene00000482,ENSP00000312419
WBGene00000482,ENSP00000369716
WBGene00000484,ENSP00000420777
WBGene00000485,ENSP00000261383
WBGene00000485,ENSP00000262442
WBGene00000485,ENSP00000265104
WBGene00000485,ENSP00000273600
WBGene00000485,ENSP00000311273
WBGene00000485,ENSP00000348965
WBGene00000485,ENSP00000373825
WBGene00000485,ENSP00000374045
WBGene00000485,ENSP00000374490
WBGene00000485,ENSP00000381167
WBGene00000485,ENSP00000386770
WBGene00000485,ENSP00000414393
WBGene00000490,ENSP00000380562
WBGene00000491,ENSP00000354917
WBGene00000492,ENSP00000404465
WBGene00000493,ENSP00000284476
WBGene00000498,ENSP00000391090
WBGene00000499,ENSP00000372023
WBGene00000500,ENSP00000219548
WBGene00000501,ENSP00000387346
WBGene00000502,ENSP00000319255
WBGene00000503,ENSP00000356198
WBGene00000506,ENSP00000358222
WBGene00000508,ENSP00000261900
WBGene00000510,ENSP00000384400
WBGene00000515,ENSP00000266517
WBGene00000518,ENSP00000312741
WBGene00000519,ENSP00000353192
WBGene00000520,ENSP00000375978
WBGene00000521,ENSP00000311196
WBGene00000530,ENSP00000265593
WBGene00000532,ENSP00000261514
WBGene00000532,ENSP00000365259
WBGene00000532,ENSP00000370213
WBGene00000533,ENSP00000372193
WBGene00000535,ENSP00000307132
WBGene00000536,ENSP00000322316
WBGene00000537,ENSP00000262319
WBGene00000539,ENSP00000353116
WBGene00000542,ENSP00000271971
WBGene00000543,ENSP00000253693
WBGene00000550,ENSP00000320468
WBGene00000552,ENSP00000291295
WBGene00000553,ENSP00000256460
WBGene00000554,ENSP00000392890
WBGene00000561,ENSP00000295108
WBGene00000565,ENSP00000324287
WBGene00000566,ENSP00000386897
WBGene00000567,ENSP00000394817
WBGene00000583,ENSP00000335196
WBGene00000584,ENSP00000295886
WBGene00000585,ENSP00000355629
WBGene00000591,ENSP00000297338
WBGene00000761,ENSP00000365388
WBGene00000762,ENSP00000310873
WBGene00000763,ENSP00000254759
WBGene00000764,ENSP00000300452
WBGene00000765,ENSP00000288532
WBGene00000766,ENSP00000333946
WBGene00000767,ENSP00000355741
WBGene00000768,ENSP00000344562
WBGene00000770,ENSP00000265997
WBGene00000772,ENSP00000261723
WBGene00000773,ENSP00000415266
WBGene00000774,ENSP00000332444
WBGene00000775,ENSP00000238018
WBGene00000776,ENSP00000345344
WBGene00000778,ENSP00000419105
WBGene00000787,ENSP00000361725
WBGene00000788,ENSP00000217131
WBGene00000792,ENSP00000356370
WBGene00000794,ENSP00000305480
WBGene00000795,ENSP00000276692
WBGene00000796,ENSP00000366135
WBGene00000798,ENSP00000221233
WBGene00000799,ENSP00000359699
WBGene00000800,ENSP00000369897
WBGene00000802,ENSP00000320866
WBGene00000803,ENSP00000348089
WBGene00000812,ENSP00000414764
WBGene00000813,ENSP00000313569
WBGene00000814,ENSP00000299259
WBGene00000815,ENSP00000268717
WBGene00000816,ENSP00000264389
WBGene00000817,ENSP00000350512
WBGene00000818,ENSP00000304102
WBGene00000822,ENSP00000357057
WBGene00000830,ENSP00000241052
WBGene00000831,ENSP00000241052
WBGene00000832,ENSP00000320434
WBGene00000833,ENSP00000342056
WBGene00000834,ENSP00000242839
WBGene00000834,ENSP00000355170
WBGene00000835,ENSP00000316854
WBGene00000836,ENSP00000387160
WBGene00000837,ENSP00000363881
WBGene00000838,ENSP00000264414
WBGene00000840,ENSP00000299351
WBGene00000843,ENSP00000259512
WBGene00000846,ENSP00000359621
WBGene00000854,ENSP00000324827
WBGene00000857,ENSP00000290167
WBGene00000858,ENSP00000308887
WBGene00000865,ENSP00000256442
WBGene00000868,ENSP00000365210
WBGene00000869,ENSP00000317159
WBGene00000870,ENSP00000261254
WBGene00000871,ENSP00000262643
WBGene00000872,ENSP00000381565
WBGene00000874,ENSP00000305473
WBGene00000875,ENSP00000404808
WBGene00000876,ENSP00000295926
WBGene00000877,ENSP00000419425
WBGene00000880,ENSP00000390427
WBGene00000881,ENSP00000300026
WBGene00000883,ENSP00000225174
WBGene00000884,ENSP00000260970
WBGene00000886,ENSP00000386893
WBGene00000887,ENSP00000306614
WBGene00000888,ENSP00000362803
WBGene00000889,ENSP00000361924
WBGene00000890,ENSP00000253329
WBGene00000891,ENSP00000261308
WBGene00000892,ENSP00000370460
WBGene00000896,ENSP00000250498
WBGene00000897,ENSP00000364133
WBGene00000898,ENSP00000268035
WBGene00000900,ENSP00000241416
WBGene00000903,ENSP00000257868
WBGene00000906,ENSP00000296266
WBGene00000911,ENSP00000307272
WBGene00000912,ENSP00000339527
WBGene00000913,ENSP00000361021
WBGene00000914,ENSP00000371434
WBGene00000915,ENSP00000299767
WBGene00000915,ENSP00000335153
WBGene00000915,ENSP00000360709
WBGene00000915,ENSP00000369649
WBGene00000931,ENSP00000385410
WBGene00000933,ENSP00000357320
WBGene00000934,ENSP00000219833
WBGene00000936,ENSP00000359866
WBGene00000937,ENSP00000260803
WBGene00000938,ENSP00000384899
WBGene00000939,ENSP00000376783
WBGene00000940,ENSP00000263579
WBGene00000941,ENSP00000361993
WBGene00000942,ENSP00000211998
WBGene00000958,ENSP00000273814
WBGene00000959,ENSP00000284061
WBGene00000960,ENSP00000265022
WBGene00000960,ENSP00000328405
WBGene00000960,ENSP00000382260
WBGene00000961,ENSP00000312435
WBGene00000962,ENSP00000261383
WBGene00000962,ENSP00000262442
WBGene00000962,ENSP00000265104
WBGene00000962,ENSP00000273600
WBGene00000962,ENSP00000295937
WBGene00000962,ENSP00000311273
WBGene00000962,ENSP00000333363
WBGene00000962,ENSP00000348965
WBGene00000962,ENSP00000373825
WBGene00000962,ENSP00000374045
WBGene00000962,ENSP00000374490
WBGene00000962,ENSP00000381167
WBGene00000962,ENSP00000386770
WBGene00000962,ENSP00000414393
WBGene00000964,ENSP00000276651
WBGene00000966,ENSP00000381206
WBGene00000970,ENSP00000381785
WBGene00000973,ENSP00000288111
WBGene00000974,ENSP00000230236
WBGene00000974,ENSP00000363794
WBGene00000974,ENSP00000387753
WBGene00000974,ENSP00000403538
WBGene00000974,ENSP00000406488
WBGene00000974,ENSP00000413950
WBGene00000976,ENSP00000326219
WBGene00000979,ENSP00000293502
WBGene00000982,ENSP00000307607
WBGene00000983,ENSP00000318631
WBGene00000984,ENSP00000303356
WBGene00000985,ENSP00000267502
WBGene00000991,ENSP00000411960
WBGene00000993,ENSP00000378887
WBGene00000994,ENSP00000310260
WBGene00000996,ENSP00000326305
WBGene00001001,ENSP00000366997
WBGene00001002,ENSP00000265465
WBGene00001005,ENSP00000240343
WBGene00001006,ENSP00000194900
WBGene00001007,ENSP00000258198
WBGene00001008,ENSP00000399910
WBGene00001016,ENSP00000382133
WBGene00001017,ENSP00000377571
WBGene00001018,ENSP00000408910
WBGene00001019,ENSP00000345575
WBGene00001020,ENSP00000320650
WBGene00001022,ENSP00000396896
WBGene00001025,ENSP00000365991
WBGene00001026,ENSP00000365007
WBGene00001027,ENSP00000366800
WBGene00001028,ENSP00000262375
WBGene00001029,ENSP00000368565
WBGene00001030,ENSP00000369127
WBGene00001031,ENSP00000413684
WBGene00001032,ENSP00000354111
WBGene00001033,ENSP00000216027
WBGene00001035,ENSP00000371451
WBGene00001037,ENSP00000314030
WBGene00001038,ENSP00000414398
WBGene00001039,ENSP00000368523
WBGene00001040,ENSP00000220496
WBGene00001041,ENSP00000362041
WBGene00001042,ENSP00000262177
WBGene00001045,ENSP00000264065
WBGene00001047,ENSP00000357998
WBGene00001048,ENSP00000263697
WBGene00001049,ENSP00000259008
WBGene00001050,ENSP00000400173
WBGene00001051,ENSP00000311083
WBGene00001051,ENSP00000409569
WBGene00001054,ENSP00000376855
WBGene00001055,ENSP00000188790
WBGene00001056,ENSP00000350583
WBGene00001058,ENSP00000415862
WBGene00001061,ENSP00000364519
WBGene00001073,ENSP00000393316
WBGene00001078,ENSP00000308695
WBGene00001080,ENSP00000334040
WBGene00001082,ENSP00000403362
WBGene00001089,ENSP00000384823
WBGene00001090,ENSP00000369213
WBGene00001092,ENSP00000359295
WBGene00001093,ENSP00000266479
WBGene00001094,ENSP00000264161
WBGene00001095,ENSP00000355086
WBGene00001101,ENSP00000316054
WBGene00001115,ENSP00000384084
WBGene00001116,ENSP00000355133
WBGene00001117,ENSP00000386181
WBGene00001118,ENSP00000382717
WBGene00001119,ENSP00000344392
WBGene00001121,ENSP00000346484
WBGene00001122,ENSP00000264020
WBGene00001127,ENSP00000362424
WBGene00001129,ENSP00000419279
WBGene00001130,ENSP00000351969
WBGene00001130,ENSP00000362014
WBGene00001130,ENSP00000373905
WBGene00001131,ENSP00000354923
WBGene00001132,ENSP00000360305
WBGene00001134,ENSP00000355324
WBGene00001135,ENSP00000221485
WBGene00001137,ENSP00000218548
WBGene00001137,ENSP00000262623
WBGene00001137,ENSP00000295598
WBGene00001137,ENSP00000354490
WBGene00001137,ENSP00000357060
WBGene00001137,ENSP00000411503
WBGene00001149,ENSP00000261192
WBGene00001150,ENSP00000370023
WBGene00001151,ENSP00000368517
WBGene00001153,ENSP00000369461
WBGene00001154,ENSP00000364883
WBGene00001155,ENSP00000357535
WBGene00001160,ENSP00000263026
WBGene00001161,ENSP00000368686
WBGene00001163,ENSP00000245323
WBGene00001166,ENSP00000392094
WBGene00001167,ENSP00000307940
WBGene00001168,ENSP00000298049
WBGene00001168,ENSP00000339063
WBGene00001169,ENSP00000298049
WBGene00001169,ENSP00000339063
WBGene00001171,ENSP00000271751
WBGene00001171,ENSP00000321427
WBGene00001172,ENSP00000262545
WBGene00001173,ENSP00000264399
WBGene00001173,ENSP00000363092
WBGene00001177,ENSP00000334105
WBGene00001178,ENSP00000355601
WBGene00001179,ENSP00000384428
WBGene00001184,ENSP00000380280
WBGene00001187,ENSP00000277549
WBGene00001187,ENSP00000288139
WBGene00001187,ENSP00000353362
WBGene00001187,ENSP00000355192
WBGene00001187,ENSP00000356545
WBGene00001187,ENSP00000365441
WBGene00001187,ENSP00000385724
WBGene00001188,ENSP00000222462
WBGene00001189,ENSP00000386104
WBGene00001194,ENSP00000338629
WBGene00001196,ENSP00000078429
WBGene00001196,ENSP00000286548
WBGene00001202,ENSP00000376966
WBGene00001207,ENSP00000417899
WBGene00001207,ENSP00000420048
WBGene00001208,ENSP00000352926
WBGene00001209,ENSP00000358140
WBGene00001210,ENSP00000306523
WBGene00001215,ENSP00000265562
WBGene00001224,ENSP00000393313
WBGene00001225,ENSP00000316638
WBGene00001226,ENSP00000378953
WBGene00001226,ENSP00000381917
WBGene00001227,ENSP00000380362
WBGene00001228,ENSP00000220849
WBGene00001229,ENSP00000396929
WBGene00001230,ENSP00000253108
WBGene00001231,ENSP00000394044
WBGene00001232,ENSP00000362688
WBGene00001233,ENSP00000248342
WBGene00001234,ENSP00000363574
WBGene00001235,ENSP00000262306
WBGene00001236,ENSP00000284811
WBGene00001241,ENSP00000378105
WBGene00001248,ENSP00000320663
WBGene00001249,ENSP00000365858
WBGene00001249,ENSP00000368632
WBGene00001258,ENSP00000156471
WBGene00001259,ENSP00000319104
WBGene00001262,ENSP00000393527
WBGene00001263,ENSP00000225964
WBGene00001263,ENSP00000264828
WBGene00001263,ENSP00000297268
WBGene00001263,ENSP00000303153
WBGene00001263,ENSP00000304408
WBGene00001263,ENSP00000331902
WBGene00001263,ENSP00000332371
WBGene00001263,ENSP00000339915
WBGene00001263,ENSP00000349802
WBGene00001263,ENSP00000351163
WBGene00001263,ENSP00000353654
WBGene00001263,ENSP00000359603
WBGene00001263,ENSP00000360882
WBGene00001263,ENSP00000361290
WBGene00001263,ENSP00000362776
WBGene00001263,ENSP00000364000
WBGene00001263,ENSP00000364979
WBGene00001263,ENSP00000369889
WBGene00001263,ENSP00000379823
WBGene00001263,ENSP00000379866
WBGene00001263,ENSP00000397117
WBGene00001263,ENSP00000399122
WBGene00001263,ENSP00000400953
WBGene00001263,ENSP00000408457
WBGene00001263,ENSP00000413007
WBGene00001263,ENSP00000414605
WBGene00001281,ENSP00000353549
WBGene00001303,ENSP00000378906
WBGene00001320,ENSP00000319152
WBGene00001328,ENSP00000252999
WBGene00001328,ENSP00000399258
WBGene00001329,ENSP00000406209
WBGene00001330,ENSP00000281172
WBGene00001331,ENSP00000329471
WBGene00001332,ENSP00000250263
WBGene00001333,ENSP00000353408
WBGene00001334,ENSP00000346635
WBGene00001335,ENSP00000361634
WBGene00001336,ENSP00000307567
WBGene00001337,ENSP00000355890
WBGene00001338,ENSP00000416922
WBGene00001340,ENSP00000389951
WBGene00001340,ENSP00000414859
WBGene00001352,ENSP00000383329
WBGene00001358,ENSP00000246747
WBGene00001365,ENSP00000363500
WBGene00001366,ENSP00000364277
WBGene00001368,ENSP00000352162
WBGene00001371,ENSP00000185206
WBGene00001371,ENSP00000358460
WBGene00001372,ENSP00000400658
WBGene00001374,ENSP00000360806
WBGene00001377,ENSP00000362978
WBGene00001395,ENSP00000322229
WBGene00001398,ENSP00000359380
WBGene00001400,ENSP00000317199
WBGene00001403,ENSP00000385521
WBGene00001404,ENSP00000364475
WBGene00001404,ENSP00000364486
WBGene00001405,ENSP00000361845
WBGene00001406,ENSP00000309163
WBGene00001410,ENSP00000318965
WBGene00001411,ENSP00000274457
WBGene00001412,ENSP00000263212
WBGene00001414,ENSP00000386881
WBGene00001423,ENSP00000221801
WBGene00001426,ENSP00000310935
WBGene00001427,ENSP00000371161
WBGene00001428,ENSP00000242209
WBGene00001431,ENSP00000001008
WBGene00001443,ENSP00000324573
WBGene00001470,ENSP00000376534
WBGene00001480,ENSP00000254090
WBGene00001485,ENSP00000360576
WBGene00001486,ENSP00000366482
WBGene00001489,ENSP00000263713
WBGene00001490,ENSP00000322926
WBGene00001493,ENSP00000343899
WBGene00001494,ENSP00000394225
WBGene00001496,ENSP00000319726
WBGene00001497,ENSP00000320309
WBGene00001498,ENSP00000281828
WBGene00001499,ENSP00000310332
WBGene00001501,ENSP00000273550
WBGene00001502,ENSP00000379287
WBGene00001503,ENSP00000355518
WBGene00001505,ENSP00000252675
WBGene00001508,ENSP00000353910
WBGene00001509,ENSP00000416338
WBGene00001510,ENSP00000378529
WBGene00001512,ENSP00000295454
WBGene00001512,ENSP00000308725
WBGene00001513,ENSP00000265107
WBGene00001515,ENSP00000374195
WBGene00001519,ENSP00000255380
WBGene00001522,ENSP00000263182
WBGene00001523,ENSP00000335261
WBGene00001526,ENSP00000325748
WBGene00001527,ENSP00000229416
WBGene00001555,ENSP00000367414
WBGene00001558,ENSP00000394071
WBGene00001559,ENSP00000338785
WBGene00001574,ENSP00000249636
WBGene00001579,ENSP00000390623
WBGene00001579,ENSP00000390948
WBGene00001580,ENSP00000293373
WBGene00001580,ENSP00000354251
WBGene00001582,ENSP00000292539
WBGene00001585,ENSP00000247843
WBGene00001590,ENSP00000377115
WBGene00001596,ENSP00000396861
WBGene00001604,ENSP00000356537
WBGene00001612,ENSP00000285900
WBGene00001614,ENSP00000362183
WBGene00001616,ENSP00000397026
WBGene00001620,ENSP00000278379
WBGene00001627,ENSP00000386377
WBGene00001628,ENSP00000269195
WBGene00001629,ENSP00000355632
WBGene00001632,ENSP00000265000
WBGene00001635,ENSP00000297107
WBGene00001636,ENSP00000395122
WBGene00001639,ENSP00000332073
WBGene00001641,ENSP00000415454
WBGene00001643,ENSP00000379377
WBGene00001645,ENSP00000307423
WBGene00001646,ENSP00000216410
WBGene00001648,ENSP00000262493
WBGene00001650,ENSP00000374071
WBGene00001650,ENSP00000418735
WBGene00001651,ENSP00000320239
WBGene00001660,ENSP00000387122
WBGene00001661,ENSP00000264718
WBGene00001662,ENSP00000379505
WBGene00001674,ENSP00000275364
WBGene00001679,ENSP00000367872
WBGene00001680,ENSP00000261837
WBGene00001681,ENSP00000371594
WBGene00001682,ENSP00000248150
WBGene00001684,ENSP00000229239
WBGene00001685,ENSP00000229239
WBGene00001687,ENSP00000366246
WBGene00001707,ENSP00000324693
WBGene00001708,ENSP00000376609
WBGene00001708,ENSP00000377204
WBGene00001709,ENSP00000312262
WBGene00001709,ENSP00000317578
WBGene00001740,ENSP00000321810
WBGene00001743,ENSP00000379967
WBGene00001744,ENSP00000373918
WBGene00001745,ENSP00000360141
WBGene00001746,ENSP00000324806
WBGene00001747,ENSP00000351298
WBGene00001748,ENSP00000341779
WBGene00001749,ENSP00000381607
WBGene00001759,ENSP00000295256
WBGene00001790,ENSP00000216465
WBGene00001792,ENSP00000358727
WBGene00001793,ENSP00000261195
WBGene00001793,ENSP00000317904
WBGene00001794,ENSP00000268251
WBGene00001796,ENSP00000320239
WBGene00001796,ENSP00000350140
WBGene00001796,ENSP00000354006
WBGene00001808,ENSP00000364813
WBGene00001808,ENSP00000372883
WBGene00001808,ENSP00000403345
WBGene00001808,ENSP00000406280
WBGene00001808,ENSP00000414006
WBGene00001808,ENSP00000414634
WBGene00001813,ENSP00000355637
WBGene00001815,ENSP00000265316
WBGene00001816,ENSP00000297504
WBGene00001819,ENSP00000376234
WBGene00001823,ENSP00000369456
WBGene00001827,ENSP00000229330
WBGene00001829,ENSP00000307939
WBGene00001833,ENSP00000281189
WBGene00001834,ENSP00000362649
WBGene00001834,ENSP00000381331
WBGene00001837,ENSP00000264606
WBGene00001840,ENSP00000388769
WBGene00001840,ENSP00000390999
WBGene00001840,ENSP00000394850
WBGene00001840,ENSP00000397758
WBGene00001840,ENSP00000398069
WBGene00001840,ENSP00000402658
WBGene00001840,ENSP00000409376
WBGene00001840,ENSP00000412582
WBGene00001843,ENSP00000283871
WBGene00001844,ENSP00000413520
WBGene00001860,ENSP00000323421
WBGene00001860,ENSP00000350036
