uniprot_id_cele	uniprot_id_hsap
Q20176	P13497
O01590	Q6JQN1
Q19328	Q7KZF4
Q1ENI8	Q92626
Q1ENI8	A1KZ92
G5EG78	Q92626
G5EG78	A1KZ92
P53013	Q05639
P53013	P68104
P53013	Q5VTE0
G5ED41	Q86VP6
G5ED41	O75155
G5EED9	Q9BZ72
G5EED9	O00562
G5EED9	Q9BZ71
Q20676	P05166
H2L0I6	Q93100
G5EEN6	Q92698
Q9TW65	P11532
Q9TW65	P46939
Q9N3X8	Q7Z5N4
Q9N3X8	Q58EX2
Q9TXV4	Q7Z401
Q9TXV4	O75064
Q9TXV4	Q5VZ89
P34305	Q8IY37
Q94392	P46459
Q27533	Q9H7F0
Q27533	Q4VNC1
Q27533	Q4VNC0
Q9N323	Q9H7F0
Q9N323	Q4VNC1
Q9N323	Q4VNC0
Q21286	Q9H7F0
Q21286	Q4VNC1
Q21286	Q4VNC0
Q9XW10	Q5JWR5
Q9XW10	Q9Y3R5
G5EGQ6	Q9NT68
G5EGQ6	Q9P273
G5EGQ6	Q6N022
G5EGQ6	Q9UKZ4
Q95XZ5	Q6KC79
Q02331	Q6ZV29
Q02331	Q8IY17
G5EFG4	Q9UG63
O44997	P53355
Q21053	Q96QK1
Q09614	Q13635
Q09614	Q9Y6C5
H2L0G5	Q13635
H2L0G5	Q9Y6C5
O01808	Q5T4S7
P54889	P54886
O02286	Q16822
O02286	P35558
O44906	Q16822
O44906	P35558
G5EDU3	Q13393
G5EDU3	O14939
Q19103	Q15477
Q21554	Q16531
Q18598	P28288
Q18597	P28288
Q9GYT0	P40939
O17612	P40939
P90838	Q9Y3I0
Q7K707	P06744
P50140	P10809
Q95PY8	Q9UKF6
Q18780	Q6IQ26
Q18780	Q6ZUT9
Q8IA75	Q15111
Q8IA75	Q9UPR0
Q17632	Q9Y2L1
O62191	Q14667
Q18787	P35998
Q20143	P22102
G5ECC3	Q9NZN3
G5ECC3	Q9H4M9
G5ECC3	Q9H223
O16249	P14735
Q17592	P14735
G5ED87	P14735
Q17593	P14735
Q10040	P14735
O45730	Q9UBJ2
O45730	P33897
G5EFI8	Q9P212
Q03603	Q9Y6T7
Q03603	P49619
Q03603	P23743
Q8WQB3	O43747
Q8WQB3	O75843
O76618	P49589
M1Z8A0	Q9H252
M1Z8A0	Q12809
M1Z8A0	Q9NS40
P47209	P48643
Q17880	P49821
Q19371	P53992
Q19371	O94855
G5ED98	Q9Y2I7
Q21106	Q9Y4B6
Q0G819	Q08209
Q0G819	P16298
Q0G819	P48454
H2KZ19	Q01433
Q11190	Q16134
P90757	Q96RY7
P10984	P60709
P10984	P63261
P10986	P60709
P10986	P63261
P10983	P60709
P10983	P63261
P28191	P29074
P28191	P26045
G5ECN9	P16519
Q21338	O00267
Q9XVR7	P25205
O16368	P62191
Q09541	P29144
Q18033	Q8NI27
Q9BKQ8	Q9H5Z1
G5EGI1	Q8NEZ4
G5EGI1	O14686
Q09641	Q9BZQ6
Q23639	Q93034
Q9N3L2	P18074
Q9NEL2	Q96L91
P35603	Q96CW1
P41988	P17987
P34385	Q9HCC0
A9UJN4	Q14738
A9UJN4	Q13362
Q21153	O75746
Q21153	Q9UJS0
O02328	Q99613
O17759	P29401
O17759	Q9H0I9
Q2PJ74	Q16706
Q2PJ74	P49641
Q18496	Q9NR19
Q9U2D9	P13807
Q9U2D9	P54840
O61795	Q9Y2M5
Q9BL05	Q9Y4E6
G5EE80	P61011
Q17391	Q13618
G5EDB9	Q8TEU7
G5EDB9	Q9Y4G8
Q20970	P56192
H2KZC9	Q16760
H2KZC9	Q86XP1
B3WFW5	Q92544
Q19866	Q12996
G5EBE8	Q9BZ29
G5EBE8	Q5JSL3
G5EBE8	Q96BY6
Q09543	P30153
Q09543	P30154
P52713	Q02252
Q22099	Q15046
Q19713	Q9NSD9
O17214	P07954
Q17336	Q9HCG8
Q9BL61	P38919
O44781	P38919
Q067Y1	Q9ULH0
Q17761	P52209
Q9TZS5	Q99832
Q95XR0	P41091
Q95XR0	Q2VIR3
Q95XR0	F8W810
Q9XWD6	A6BM72
Q9XWD6	Q96KG7
Q9XWD6	Q5VY43
Q19266	P41743
Q19266	Q05513
G5EEY5	Q86U86
Q95QQ4	P31939
Q9N3T8	P52701
Q9U2F2	P50416
Q9U2F2	Q92523
Q9U2F2	Q8TCG5
Q5F4W0	Q96JQ0
Q5F4W0	Q6V1P9
Q5F4W0	Q6V0I7
Q19523	O60503
G4SRS5	O75027
P46562	P49419
Q19554	Q8NE71
Q22070	P19174
Q22070	P16885
Q20780	P05091
Q20780	P30837
Q9TXM0	P05091
Q9TXM0	P30837
Q9XXE6	Q7Z3V4
Q966W3	O95803
Q966W3	P52848
Q966W3	Q9H3R1
Q966W3	P52849
O44411	Q9BZE4
Q19981	Q5VV63
Q19981	O75882
G5ECW7	Q9NY33
O17953	P09622
O16297	P33993
Q965T6	Q9Y496
Q8T3B2	Q5T5C0
Q8T3B2	Q9Y2K9
Q20117	P48506
P34815	P61764
P34815	Q15833
H2KZZ6	Q9Y3P9
H2KZZ6	Q5R372
P47207	P78371
P46550	P40227
P46550	Q92526
G5ED37	Q13099
O61660	Q13472
Q9U3K2	Q5TA45
O76371	P17980
Q17389	Q13616
Q7YTU0	Q6YHK3
Q09499	O75460
Q09499	Q76MJ5
P46873	Q9P2E2
Q18846	O75582
Q18846	O75676
Q20306	Q9NUQ8
Q9N5V3	O00410
Q9N5V3	O60518
O16520	P62495
P27604	P23526
Q27487	P04040
O61235	P04040
Q8MYL7	P04040
O76360	Q13976
Q20679	O60568
Q20679	O00469
Q20679	Q02809
Q95XD1	Q9NZV8
Q95XD1	Q9UK17
Q95XD1	Q9NSA2
G5EFZ9	Q2V2M9
Q09630	Q14832
Q09630	Q14416
Q09630	O00222
Q09630	O15303
Q09630	Q14831
Q09630	Q14833
Q20502	P42357
Q23368	O95487
Q23368	O95486
B9WRT3	Q9H5I5
B9WRT3	Q92508
Q9XTT9	P62195
Q8MXF1	P62195
G5EC75	P51798
P34710	O95631
Q18034	Q12986
O62305	Q13554
O62305	Q13557
O62305	Q9UQM7
Q9N341	Q92499
Q9N4J8	P49368
P47208	P50991
Q19459	Q92896
P35602	Q9BXS5
P35602	Q9Y6Q5
O61815	Q9NVP1
P34540	O60282
P34540	Q12840
P34540	P33176
P46549	Q7L7X3
P46549	Q9H2K8
P46549	Q9UL54
Q9N4I0	P61158
Q9N4I0	Q9P1U1
Q23541	P29375
Q23541	Q9UGL1
Q23541	Q9BY66
Q23541	P41229
Q21742	P36871
Q21742	Q15124
P24893	P00395
O45718	Q13367
O45718	O00203
Q27527	P06733
Q27527	P09104
Q27527	P13929
Q8WTL6	Q9BXJ9
Q8WTL6	Q6N069
G5EGE3	Q16513
G5EGE3	Q16512
G5EGE3	Q6P5Z2
Q18212	O00148
Q18212	Q13838
G5EGF0	Q9P2H3
G5EGF0	H3BRJ5
Q8I6Y9	Q9UBN4
Q8I6Y9	Q9UL62
O61856	A1L0T0
Q94222	Q96HU1
Q18678	P49591
O17798	P09958
O17798	Q6UW60
O01510	Q96Q15
P34722	Q05655
P34722	Q04759
P34575	O75390
Q03606	Q92503
Q03606	O43304
G5EF43	P30531
O17403	Q9P2I0
G5EG10	Q13255
G5EG10	P41594
Q19469	Q8TDC3
Q19469	Q8IWQ3
O17071	P62333
P91341	Q15269
Q9N302	P33121
Q9N302	Q9UKU0
Q9N302	Q9ULC5
G5EEG7	Q2TAY7
Q09537	P43250
Q09537	P34947
Q09537	P32298
Q8MPR9	Q9BZF1
Q8MPR9	Q9H0X9
G5EFD4	Q9NP58
O45430	Q96RQ3
G5EFC4	Q99459
O45218	O00116
Q23621	P00367
Q23621	P49448
Q19722	O43776
H2L0Q3	Q9UBS5
Q9XUS5	Q16851
Q27874	P05556
Q27874	P05107
Q27874	P26010
Q27874	P05106
Q03577	P14868
H2KYY2	Q59H18
Q93382	Q86XP3
G5EEN3	Q14185
G5EEN3	Q9H7D0
G5EEN3	Q92608
G5EEN3	Q8IZD9
G5EEN3	Q8N1I0
Q20829	O00754
Q20296	Q9UBN7
P90916	Q09028
P90916	Q16576
Q09519	O15550
Q09519	O14607
Q09519	O15054
Q23290	Q8IVH8
Q23290	Q9Y4K4
Q23290	Q12851
Q09580	P49915
Q9N5K1	Q9UJV9
O17695	Q13547
O17695	Q92769
Q09450	P55809
Q09450	Q9BYC2
Q8MQ68	O15066
Q8MQ68	O14782
Q21376	Q8IWU6
Q21376	Q8IWU5
Q09590	P16435
P53489	P61160
Q09990	Q9UKB1
Q09990	Q9Y297
Q9BKW4	Q96PU5
Q9BKW4	P46934
B7WNA0	P14618
B7WNA0	P30613
P92199	Q13464
P92199	O75116
G5EEV7	Q8N122
Q19825	P54136
Q19579	Q13310
Q19579	P11940
Q19579	Q9H361
Q19579	Q4VXU2
Q9U302	Q13310
Q9U302	P11940
Q9U302	Q9H361
Q9U302	Q4VXU2
O18178	Q16537
O18178	Q15172
O18178	Q15173
P46502	P43686
O44787	Q53GS9
Q966P8	O96005
Q22003	O96005
Q4TT88	P55786
Q4TT88	A6NEC2
Q18660	O60488
Q18660	O95573
Q20121	O60488
Q20121	O95573
P34609	Q9UPT6
P34609	O60271
P90947	P26232
P90947	P35221
P90947	Q9UI47
H9G2T4	O75874
P17343	P62873
P17343	Q9HAV0
P17343	P62879
Q9U296	Q16798
Q9U296	P48163
Q9U296	P23368
Q8I7G4	Q8N4P2
Q8I7G4	Q86WT1
Q688Z4	Q8TDD1
Q05036	O95757
Q05036	P34932
Q05036	Q92598
P46822	Q07866
P46822	Q9NSK0
P46822	Q9H0B6
O44729	O60508
Q20748	Q5T9A4
Q20748	Q9NVI7
G5EBE4	Q8NBS3
Q17693	P42898
Q19555	Q8N3U4
Q19555	Q8WVM7
Q19555	Q9UJ98
P48727	P62136
Q27497	P62140
G5EC31	P30038
G5EDB6	Q9UQ90
Q17390	Q13617
Q18429	Q8NE62
Q9N358	P50990
Q09591	O95347
Q18183	Q5THJ4
Q18679	Q92611
P34331	P53350
Q9N2L7	P53350
Q22143	Q9Y6W3
Q9XTF3	Q92630
Q9XTF3	O43781
D0PV95	O00571
D0PV95	O15523
Q9N5D3	Q07889
Q9N5D3	Q07890
P34339	Q14152
Q27474	P18858
G5EGL2	Q9Y295
O62219	Q658Y4
Q17828	Q8IYB8
Q22800	O75306
Q93873	O75306
Q8WQB2	Q9HCG7
O01893	Q9HCG7
G5EBK3	P26038
G5EBK3	P35241
G5EBK3	P15311
Q19969	O00629
Q19969	O00505
P50880	P39023
P50880	Q92901
Q2L6W9	Q9Y2H1
Q2L6W9	Q15208
G5EBF1	Q9HCK4
G5EBF1	Q9Y6N7
G5EBF1	Q96MS0
Q27464	P11413
Q9XXK6	Q6IA69
Q17388	O75923
Q17388	Q9NZM1
Q17388	A0AVI2
Q17388	Q9HC10
Q17388	Q2WGJ9
Q17388	A9Z1Z3
Q9BL83	O75351
Q9BL83	Q9UN37
Q20255	Q7Z4L5
Q20255	Q8NDW8
O44846	Q9BXP2
Q9XX10	Q9UBH6
P51875	P09471
P03949	P42684
P03949	P00519
P34552	Q8WUM4
Q9NES8	P53041
Q9Y041	Q93099
A7DTF2	P22059
A7DTF2	Q969R2
Q19905	O60701
Q95YF3	P26196
Q9U2A9	Q14137
Q9U2A9	Q96Q25
Q966F9	O95622
Q966F9	O43306
Q966F9	P40145
Q966F9	Q08828
Q966F9	Q08462
G5EGK8	P62714
G5EGK8	P67775
Q18115	Q99460
Q20060	Q9NTJ3
O45622	Q8IYD1
O45622	P15170
G5EC98	Q9NRF8
G5EC98	P17812
O17643	P48735
Q9GYS8	Q9Y285
G5EDB7	Q99259
G5EDB7	Q05329
P54816	Q6PL18
P54816	Q9ULI0
O61741	Q9Y697
Q18241	Q9Y4B4
P18334	P68400
P18334	Q8NEV1
G5EDR3	P63151
G5EDR3	Q66LE6
G5EDR3	Q00005
G5EDR3	Q9Y2T4
G5EF96	P43146
G5EF96	Q92859
Q17860	P52824
Q9NAG4	O15381
Q18859	Q9P2L0
Q18983	Q5VYK3
Q968Y9	P08069
Q968Y9	P06213
Q968Y9	P14616
P91427	P00558
P91427	P07205
Q17745	Q16881
Q17745	Q86VQ6
E9P860	Q9P2E3
Q23356	Q7Z2Y5
Q2V4S2	P50395
Q2V4S2	P31150
Q22875	Q9UQ13
P50305	P31153
P50305	Q00266
P50306	P31153
P50306	Q00266
Q27522	P31153
Q27522	Q00266
O17680	P31153
O17680	Q00266
G5EGU1	P50148
G5EGU1	P29992
Q17994	P00505
Q18286	Q9Y2D4
Q18286	Q8TAG9
Q9TYV3	Q9NVX2
O17919	O60832
Q09568	Q8IYB7
Q18905	O00178
Q18677	Q14117
Q18677	Q16555
Q18677	Q14195
Q18677	Q14194
Q21773	Q14117
Q21773	Q16555
Q21773	Q14195
Q21773	Q14194
P50432	P34896
P50432	P34897
Q03614	P23975
Q03614	Q01959
G5ECZ8	Q8NI35
G5ECZ8	O75970
D3KZG3	Q7Z5M5
Q11069	Q7Z5M5
Q17770	P07237
Q400N4	O60337
Q9N3C7	P31645
Q20680	Q9Y2Z2
A0FLQ6	O75417
P34580	Q9H0S4
P39745	P28482
P39745	P27361
P34617	Q8N442
Q9BL17	Q9NUT2
H2KYN6	Q6IN85
H2KYN6	Q5MIZ7
H2KYN6	Q6ZMV5
O17001	Q9Y597
O17001	Q8TBC3
Q9XWG9	P51787
Q19433	Q9UNX4
Q9BMK9	P51788
Q9BMK9	P35523
Q9U1Q3	Q96BP3
P34329	P13667
Q20736	Q9Y2T2
Q20736	P53677
Q9XUW5	Q92841
Q9XUW5	P17844
O44183	P09960
Q22836	Q13573
P34678	Q10472
P34678	Q8IUC8
Q9XWE1	Q8IXB1
H2KZG7	O94967
Q20364	Q8WVM8
Q18685	Q96AC1
Q18685	Q9BQL6
Q18685	Q86UX7
Q9BMU4	Q8NHH9
Q9BMU4	Q8WXF7
Q9BMU4	Q6DD88
P27639	Q14240
P27639	P60842
Q21434	P49281
Q21434	P49279
Q21433	P49281
Q21433	P49279
Q95XG8	P49281
Q95XG8	P49279
O44897	Q9NP78
Q9TZD9	Q9NP78
Q18040	P04181
Q95ZS2	P20711
O01422	P61201
O61196	Q8N2H3
Q7JKC3	Q93009
G5ECY0	Q12959
G5ECY0	Q15700
G5ECY0	P78352
G5ECY0	Q92796
Q9XU12	O00139
Q9XU12	Q99661
Q9XU12	Q8N4N8
G5EBX9	O14830
G5EBX9	O14829
P42168	P48729
P42168	Q8N752
P34578	Q8WZA2
P34578	O95398
O16997	Q13435
Q17850	Q13153
Q17850	O75914
Q17850	Q13177
O17566	O94804
H1UBK1	P50579
Q10901	P43004
Q17941	P31749
Q17941	P31751
Q17941	Q9Y243
Q9XTG7	P31749
Q9XTG7	P31751
Q9XTG7	Q9Y243
Q20059	Q8TAF3
Q9TZC4	Q13418
G5EDY0	O00443
G5EDY0	O00750
G5EDY0	O75747
Q9BL72	Q96PY5
Q9BL72	Q8IVF7
Q9BL72	O95466
Q8WQL7	Q13627
Q8WQL7	Q9Y463
P34280	P55039
Q9TYN3	Q6P1X5
Q20375	O15270
Q20375	Q9NUV7
P90830	Q9BV94
Q9TXI7	Q8NEB9
Q95YD5	P61421
Q9N437	Q14147
P21137	P17612
P21137	P22694
P21137	P22612
Q9U2U6	Q9Y5W8
Q17335	P11766
Q965R0	P11766
Q94272	P16930
O02228	Q9GZV3
Q03611	P29973
Q03611	Q16281
Q03611	Q16280
Q03611	Q8IV77
O17944	Q7Z2Z2
P34314	Q86UE8
P34314	Q9UKI8
Q9N5N9	Q8IY81
Q9BL46	Q96KP4
Q9GZH2	Q9Y230
O01685	P24298
O01685	Q8TD30
O45934	Q96G03
