Gene stable ID	Transcript stable ID	Human gene stable ID	Human gene name
WBGene00000072	F39C12.2a	ENSG00000148700	ADD3
WBGene00000072	F39C12.2b	ENSG00000148700	ADD3
WBGene00000072	F39C12.2c	ENSG00000148700	ADD3
WBGene00000072	F39C12.2d	ENSG00000148700	ADD3
WBGene00000072	F39C12.2e	ENSG00000148700	ADD3
WBGene00000072	F39C12.2a	ENSG00000075340	ADD2
WBGene00000072	F39C12.2b	ENSG00000075340	ADD2
WBGene00000072	F39C12.2c	ENSG00000075340	ADD2
WBGene00000072	F39C12.2d	ENSG00000075340	ADD2
WBGene00000072	F39C12.2e	ENSG00000075340	ADD2
WBGene00000072	F39C12.2a	ENSG00000087274	ADD1
WBGene00000072	F39C12.2b	ENSG00000087274	ADD1
WBGene00000072	F39C12.2c	ENSG00000087274	ADD1
WBGene00000072	F39C12.2d	ENSG00000087274	ADD1
WBGene00000072	F39C12.2e	ENSG00000087274	ADD1
WBGene00000073	F57F5.4a.1	ENSG00000148700	ADD3
WBGene00000073	F57F5.4a.2	ENSG00000148700	ADD3
WBGene00000073	F57F5.4b	ENSG00000148700	ADD3
WBGene00000073	F57F5.4a.1	ENSG00000075340	ADD2
WBGene00000073	F57F5.4a.2	ENSG00000075340	ADD2
WBGene00000073	F57F5.4b	ENSG00000075340	ADD2
WBGene00000073	F57F5.4a.1	ENSG00000087274	ADD1
WBGene00000073	F57F5.4a.2	ENSG00000087274	ADD1
WBGene00000073	F57F5.4b	ENSG00000087274	ADD1
WBGene00000074	C04A11.4	ENSG00000168615	ADAM9
WBGene00000074	C04A11.4	ENSG00000135074	ADAM19
WBGene00000074	C04A11.4	ENSG00000143537	ADAM15
WBGene00000074	C04A11.4	ENSG00000151651	ADAM8
WBGene00000074	C04A11.4	ENSG00000069206	ADAM7
WBGene00000074	C04A11.4	ENSG00000042980	ADAM28
WBGene00000074	C04A11.4	ENSG00000134007	ADAM20
WBGene00000074	C04A11.4	ENSG00000168594	ADAM29
WBGene00000074	C04A11.4	ENSG00000134249	ADAM30
WBGene00000074	C04A11.4	ENSG00000139985	ADAM21
WBGene00000074	C04A11.4	ENSG00000149451	ADAM33
WBGene00000074	C04A11.4	ENSG00000148848	ADAM12
WBGene00000075	ZK154.7	ENSG00000151694	ADAM17
WBGene00000079	H15N14.1c	ENSG00000164113	ADAD1
WBGene00000079	H15N14.1d	ENSG00000164113	ADAD1
WBGene00000079	H15N14.1e	ENSG00000164113	ADAD1
WBGene00000079	H15N14.1f	ENSG00000164113	ADAD1
WBGene00000079	H15N14.1g	ENSG00000164113	ADAD1
WBGene00000079	H15N14.1c	ENSG00000140955	ADAD2
WBGene00000079	H15N14.1d	ENSG00000140955	ADAD2
WBGene00000079	H15N14.1e	ENSG00000140955	ADAD2
WBGene00000079	H15N14.1f	ENSG00000140955	ADAD2
WBGene00000079	H15N14.1g	ENSG00000140955	ADAD2
WBGene00000080	T20H4.4	ENSG00000160710	ADAR
WBGene00000081	Y50D7A.7	ENSG00000018510	AGPS
WBGene00000086	C02H7.3a	ENSG00000110514	MADD
WBGene00000086	C02H7.3b	ENSG00000110514	MADD
WBGene00000089	Y87G2A.4	ENSG00000041353	RAB27B
WBGene00000089	Y87G2A.4	ENSG00000069974	RAB27A
WBGene00000090	B0334.8a	ENSG00000105851	PIK3CG
WBGene00000090	B0334.8b	ENSG00000105851	PIK3CG
WBGene00000092	F32A6.4a	ENSG00000160360	GPSM1
WBGene00000092	F32A6.4b	ENSG00000160360	GPSM1
WBGene00000092	F32A6.4c	ENSG00000160360	GPSM1
WBGene00000092	F32A6.4a	ENSG00000121957	GPSM2
WBGene00000092	F32A6.4b	ENSG00000121957	GPSM2
WBGene00000092	F32A6.4c	ENSG00000121957	GPSM2
WBGene00000095	C25A1.11a	ENSG00000143437	ARNT
WBGene00000095	C25A1.11b	ENSG00000143437	ARNT
WBGene00000095	C25A1.11a	ENSG00000172379	ARNT2
WBGene00000095	C25A1.11b	ENSG00000172379	ARNT2
WBGene00000096	C41G7.5a	ENSG00000063438	AHRR
WBGene00000096	C41G7.5b	ENSG00000063438	AHRR
WBGene00000096	C41G7.5a	ENSG00000283321	RP11-507K12.1
WBGene00000096	C41G7.5b	ENSG00000283321	RP11-507K12.1
WBGene00000096	C41G7.5a	ENSG00000106546	AHR
WBGene00000096	C41G7.5b	ENSG00000106546	AHR
WBGene00000097	F58E10.4	ENSG00000178381	ZFAND2A
WBGene00000097	F58E10.4	ENSG00000158552	ZFAND2B
WBGene00000099	B0207.4	ENSG00000087586	AURKA
WBGene00000099	B0207.4	ENSG00000105146	AURKC
WBGene00000099	B0207.4	ENSG00000178999	AURKB
WBGene00000100	C25A11.4a	ENSG00000232434	C9orf172
WBGene00000100	C25A11.4b	ENSG00000232434	C9orf172
WBGene00000100	C25A11.4c	ENSG00000232434	C9orf172
WBGene00000100	C25A11.4d	ENSG00000232434	C9orf172
WBGene00000100	C25A11.4e	ENSG00000232434	C9orf172
WBGene00000101	D1022.7a.1	ENSG00000157077	ZFYVE9
WBGene00000101	D1022.7a.2	ENSG00000157077	ZFYVE9
WBGene00000101	D1022.7b.1	ENSG00000157077	ZFYVE9
WBGene00000101	D1022.7b.2	ENSG00000157077	ZFYVE9
WBGene00000101	D1022.7c.1	ENSG00000157077	ZFYVE9
WBGene00000101	D1022.7c.2	ENSG00000157077	ZFYVE9
WBGene00000101	D1022.7a.1	ENSG00000039319	ZFYVE16
WBGene00000101	D1022.7a.2	ENSG00000039319	ZFYVE16
WBGene00000101	D1022.7b.1	ENSG00000039319	ZFYVE16
WBGene00000101	D1022.7b.2	ENSG00000039319	ZFYVE16
WBGene00000101	D1022.7c.1	ENSG00000039319	ZFYVE16
WBGene00000101	D1022.7c.2	ENSG00000039319	ZFYVE16
WBGene00000102	C12D8.10a	ENSG00000105221	AKT2
WBGene00000102	C12D8.10b	ENSG00000105221	AKT2
WBGene00000102	C12D8.10c	ENSG00000105221	AKT2
WBGene00000102	C12D8.10a	ENSG00000142208	AKT1
WBGene00000102	C12D8.10b	ENSG00000142208	AKT1
WBGene00000102	C12D8.10c	ENSG00000142208	AKT1
WBGene00000102	C12D8.10a	ENSG00000117020	AKT3
WBGene00000102	C12D8.10b	ENSG00000117020	AKT3
WBGene00000102	C12D8.10c	ENSG00000117020	AKT3
WBGene00000103	F28H6.1a	ENSG00000105221	AKT2
WBGene00000103	F28H6.1b	ENSG00000105221	AKT2
WBGene00000103	F28H6.1a	ENSG00000142208	AKT1
WBGene00000103	F28H6.1b	ENSG00000142208	AKT1
WBGene00000103	F28H6.1a	ENSG00000117020	AKT3
WBGene00000103	F28H6.1b	ENSG00000117020	AKT3
WBGene00000105	F48F7.1a	ENSG00000123908	AGO2
WBGene00000105	F48F7.1b	ENSG00000123908	AGO2
WBGene00000106	T07D3.7a	ENSG00000123908	AGO2
WBGene00000106	T07D3.7b	ENSG00000123908	AGO2
WBGene00000107	F54D8.3a.1	ENSG00000257767	RP11-162P23.2
WBGene00000107	F54D8.3a.2	ENSG00000257767	RP11-162P23.2
WBGene00000107	F54D8.3b.1	ENSG00000257767	RP11-162P23.2
WBGene00000107	F54D8.3b.2	ENSG00000257767	RP11-162P23.2
WBGene00000107	F54D8.3b.3	ENSG00000257767	RP11-162P23.2
WBGene00000107	F54D8.3b.4	ENSG00000257767	RP11-162P23.2
WBGene00000107	F54D8.3a.1	ENSG00000111275	ALDH2
WBGene00000107	F54D8.3a.2	ENSG00000111275	ALDH2
WBGene00000107	F54D8.3b.1	ENSG00000111275	ALDH2
WBGene00000107	F54D8.3b.2	ENSG00000111275	ALDH2
WBGene00000107	F54D8.3b.3	ENSG00000111275	ALDH2
WBGene00000107	F54D8.3b.4	ENSG00000111275	ALDH2
WBGene00000107	F54D8.3a.1	ENSG00000184254	ALDH1A3
WBGene00000107	F54D8.3a.2	ENSG00000184254	ALDH1A3
WBGene00000107	F54D8.3b.1	ENSG00000184254	ALDH1A3
WBGene00000107	F54D8.3b.2	ENSG00000184254	ALDH1A3
WBGene00000107	F54D8.3b.3	ENSG00000184254	ALDH1A3
WBGene00000107	F54D8.3b.4	ENSG00000184254	ALDH1A3
WBGene00000107	F54D8.3a.1	ENSG00000165092	ALDH1A1
WBGene00000107	F54D8.3a.2	ENSG00000165092	ALDH1A1
WBGene00000107	F54D8.3b.1	ENSG00000165092	ALDH1A1
WBGene00000107	F54D8.3b.2	ENSG00000165092	ALDH1A1
WBGene00000107	F54D8.3b.3	ENSG00000165092	ALDH1A1
WBGene00000107	F54D8.3b.4	ENSG00000165092	ALDH1A1
WBGene00000107	F54D8.3a.1	ENSG00000137124	ALDH1B1
WBGene00000107	F54D8.3a.2	ENSG00000137124	ALDH1B1
WBGene00000107	F54D8.3b.1	ENSG00000137124	ALDH1B1
WBGene00000107	F54D8.3b.2	ENSG00000137124	ALDH1B1
WBGene00000107	F54D8.3b.3	ENSG00000137124	ALDH1B1
WBGene00000107	F54D8.3b.4	ENSG00000137124	ALDH1B1
WBGene00000107	F54D8.3a.1	ENSG00000128918	ALDH1A2
WBGene00000107	F54D8.3a.2	ENSG00000128918	ALDH1A2
WBGene00000107	F54D8.3b.1	ENSG00000128918	ALDH1A2
WBGene00000107	F54D8.3b.2	ENSG00000128918	ALDH1A2
WBGene00000107	F54D8.3b.3	ENSG00000128918	ALDH1A2
WBGene00000107	F54D8.3b.4	ENSG00000128918	ALDH1A2
WBGene00000108	K04F1.15	ENSG00000257767	RP11-162P23.2
WBGene00000108	K04F1.15	ENSG00000111275	ALDH2
WBGene00000108	K04F1.15	ENSG00000184254	ALDH1A3
WBGene00000108	K04F1.15	ENSG00000165092	ALDH1A1
WBGene00000108	K04F1.15	ENSG00000137124	ALDH1B1
WBGene00000108	K04F1.15	ENSG00000128918	ALDH1A2
WBGene00000109	F36H1.6	ENSG00000136010	ALDH1L2
WBGene00000109	F36H1.6	ENSG00000144908	ALDH1L1
WBGene00000110	T05H4.13a.1	ENSG00000132746	ALDH3B2
WBGene00000110	T05H4.13a.2	ENSG00000132746	ALDH3B2
WBGene00000110	T05H4.13b.1	ENSG00000132746	ALDH3B2
WBGene00000110	T05H4.13b.2	ENSG00000132746	ALDH3B2
WBGene00000110	T05H4.13c.1	ENSG00000132746	ALDH3B2
WBGene00000110	T05H4.13c.2	ENSG00000132746	ALDH3B2
WBGene00000110	T05H4.13a.1	ENSG00000072210	ALDH3A2
WBGene00000110	T05H4.13a.2	ENSG00000072210	ALDH3A2
WBGene00000110	T05H4.13b.1	ENSG00000072210	ALDH3A2
WBGene00000110	T05H4.13b.2	ENSG00000072210	ALDH3A2
WBGene00000110	T05H4.13c.1	ENSG00000072210	ALDH3A2
WBGene00000110	T05H4.13c.2	ENSG00000072210	ALDH3A2
WBGene00000110	T05H4.13a.1	ENSG00000108602	ALDH3A1
WBGene00000110	T05H4.13a.2	ENSG00000108602	ALDH3A1
WBGene00000110	T05H4.13b.1	ENSG00000108602	ALDH3A1
WBGene00000110	T05H4.13b.2	ENSG00000108602	ALDH3A1
WBGene00000110	T05H4.13c.1	ENSG00000108602	ALDH3A1
WBGene00000110	T05H4.13c.2	ENSG00000108602	ALDH3A1
WBGene00000110	T05H4.13a.1	ENSG00000006534	ALDH3B1
WBGene00000110	T05H4.13a.2	ENSG00000006534	ALDH3B1
WBGene00000110	T05H4.13b.1	ENSG00000006534	ALDH3B1
WBGene00000110	T05H4.13b.2	ENSG00000006534	ALDH3B1
WBGene00000110	T05H4.13c.1	ENSG00000006534	ALDH3B1
WBGene00000110	T05H4.13c.2	ENSG00000006534	ALDH3B1
WBGene00000111	T08B1.3	ENSG00000132746	ALDH3B2
WBGene00000111	T08B1.3	ENSG00000072210	ALDH3A2
WBGene00000111	T08B1.3	ENSG00000108602	ALDH3A1
WBGene00000111	T08B1.3	ENSG00000006534	ALDH3B1
WBGene00000112	F56D12.1a.1	ENSG00000159423	ALDH4A1
WBGene00000112	F56D12.1a.2	ENSG00000159423	ALDH4A1
WBGene00000112	F56D12.1a.3	ENSG00000159423	ALDH4A1
WBGene00000112	F56D12.1b.1	ENSG00000159423	ALDH4A1
WBGene00000112	F56D12.1b.2	ENSG00000159423	ALDH4A1
WBGene00000112	F56D12.1b.3	ENSG00000159423	ALDH4A1
WBGene00000112	F56D12.1c.1	ENSG00000159423	ALDH4A1
WBGene00000112	F56D12.1c.2	ENSG00000159423	ALDH4A1
WBGene00000112	F56D12.1c.3	ENSG00000159423	ALDH4A1
WBGene00000112	F56D12.1d.1	ENSG00000159423	ALDH4A1
WBGene00000112	F56D12.1d.2	ENSG00000159423	ALDH4A1
WBGene00000113	F45H10.1a.1	ENSG00000112294	ALDH5A1
WBGene00000113	F45H10.1a.2	ENSG00000112294	ALDH5A1
WBGene00000113	F45H10.1b	ENSG00000112294	ALDH5A1
WBGene00000114	F13D12.4a.1	ENSG00000119711	ALDH6A1
WBGene00000114	F13D12.4a.2	ENSG00000119711	ALDH6A1
WBGene00000114	F13D12.4a.3	ENSG00000119711	ALDH6A1
WBGene00000114	F13D12.4b	ENSG00000119711	ALDH6A1
WBGene00000115	F01F1.6.1	ENSG00000164904	ALDH7A1
WBGene00000115	F01F1.6.2	ENSG00000164904	ALDH7A1
WBGene00000116	C54D1.4	ENSG00000118514	ALDH8A1
WBGene00000117	F42G9.5a	ENSG00000143149	ALDH9A1
WBGene00000117	F42G9.5b	ENSG00000143149	ALDH9A1
WBGene00000118	Y69F12A.2a.1	ENSG00000143149	ALDH9A1
WBGene00000118	Y69F12A.2a.2	ENSG00000143149	ALDH9A1
WBGene00000118	Y69F12A.2b.1	ENSG00000143149	ALDH9A1
WBGene00000118	Y69F12A.2b.2	ENSG00000143149	ALDH9A1
WBGene00000123	F36A4.7	ENSG00000181222	POLR2A
WBGene00000137	R13G10.2	ENSG00000165097	KDM1B
WBGene00000138	B0019.1	ENSG00000069535	MAOB
WBGene00000138	B0019.1	ENSG00000189221	MAOA
WBGene00000142	C08B6.9	ENSG00000142230	SAE1
WBGene00000143	K06H7.6	ENSG00000176248	ANAPC2
WBGene00000144	F15H10.3a.1	ENSG00000164162	ANAPC10
WBGene00000144	F15H10.3a.2	ENSG00000164162	ANAPC10
WBGene00000144	F15H10.3a.3	ENSG00000164162	ANAPC10
WBGene00000144	F15H10.3b	ENSG00000164162	ANAPC10
WBGene00000144	F15H10.3c	ENSG00000164162	ANAPC10
WBGene00000144	F15H10.3d	ENSG00000164162	ANAPC10
WBGene00000145	F35G12.9	ENSG00000141552	ANAPC11
WBGene00000146	F46F3.4a	ENSG00000143514	TP53BP2
WBGene00000146	F46F3.4b	ENSG00000143514	TP53BP2
WBGene00000146	F46F3.4c	ENSG00000143514	TP53BP2
WBGene00000146	F46F3.4d	ENSG00000143514	TP53BP2
WBGene00000146	F46F3.4a	ENSG00000104881	PPP1R13L
WBGene00000146	F46F3.4b	ENSG00000104881	PPP1R13L
WBGene00000146	F46F3.4c	ENSG00000104881	PPP1R13L
WBGene00000146	F46F3.4d	ENSG00000104881	PPP1R13L
WBGene00000146	F46F3.4a	ENSG00000088808	PPP1R13B
WBGene00000146	F46F3.4b	ENSG00000088808	PPP1R13B
WBGene00000146	F46F3.4c	ENSG00000088808	PPP1R13B
WBGene00000146	F46F3.4d	ENSG00000088808	PPP1R13B
WBGene00000147	VF36H2L.1	ENSG00000117362	APH1A
WBGene00000147	VF36H2L.1	ENSG00000138613	APH1B
WBGene00000148	ZC434.6a	ENSG00000162736	NCSTN
WBGene00000148	ZC434.6b	ENSG00000162736	NCSTN
WBGene00000149	C42D8.8a	ENSG00000105290	APLP1
WBGene00000149	C42D8.8b	ENSG00000105290	APLP1
WBGene00000150	F55A12.7	ENSG00000129354	AP1M2
WBGene00000150	F55A12.7	ENSG00000072958	AP1M1
WBGene00000155	W03G9.4.1	ENSG00000122121	XPNPEP2
