I-1A01,WBGene00000227
I-1K02,WBGene00044796
I-1K03,WBGene00022389
I-1K04,WBGene00004077
I-1K06,WBGene00020987
I-1K07,WBGene00022389
I-1K08,WBGene00002174
I-1K11,WBGene00022386
I-1K12,WBGene00020989
I-1K13,WBGene00003238
I-1K14,WBGene00020990
I-1K18,WBGene00021125
I-1K22,WBGene00021126
I-1K24,WBGene00021127
I-1L01,WBGene00020184
I-1L02,WBGene00016608
I-1L03,WBGene00000764
I-1L04,WBGene00021632
I-1L05,WBGene00020185
I-1L06,WBGene00021631
I-1L08,WBGene00016601
I-1L09,WBGene00020187
I-1L10,WBGene00021630
I-1L11,WBGene00020188
I-1L14,WBGene00021629
I-1L15,WBGene00020190
I-1L16,WBGene00021628
I-1L17,WBGene00001832
I-1L18,WBGene00000140
I-1L19,WBGene00020191
I-1L20,WBGene00000140
I-1L21,WBGene00020189
I-1L21,WBGene00020192
I-1L22,WBGene00022836
I-1L23,WBGene00016835
I-1L24,WBGene00003061
I-1M02,WBGene00021128
I-1M03,WBGene00003548
I-1M05,WBGene00003238
I-1M06,WBGene00021840
I-1M07,WBGene00018786
I-1M08,WBGene00000205
I-1M09,WBGene00018787
I-1M10,WBGene00019697
I-1M12,WBGene00019698
I-1M14,WBGene00003654
I-1M14,WBGene00195056
I-1M15,WBGene00016931
I-1M16,WBGene00195056
I-1M18,WBGene00195056
I-1M19,WBGene00018786
I-1M20,WBGene00019594
I-1M21,WBGene00019909
I-1M21,WBGene00044895
I-1M22,WBGene00019595
I-1M23,WBGene00001745
I-1M24,WBGene00000626
I-1M24,WBGene00045387
I-1N01,WBGene00016836
I-1N02,WBGene00022835
I-1N03,WBGene00016837
I-1N04,WBGene00022834
I-1N05,WBGene00016838
I-1N06,WBGene00000140
I-1N07,WBGene00016839
I-1N08,WBGene00000140
I-1N09,WBGene00001430
I-1N10,WBGene00000140
I-1N11,WBGene00016840
I-1N12,WBGene00000140
I-1N13,WBGene00016841
I-1N14,WBGene00000140
I-1N16,WBGene00000045
I-1N17,WBGene00003950
I-1N18,WBGene00022832
I-1N19,WBGene00020625
I-1N21,WBGene00020626
I-1N23,WBGene00020627
I-1N24,WBGene00015704
I-1O01,WBGene00019910
I-1O04,WBGene00045387
I-1O05,WBGene00022837
I-1O06,WBGene00003062
I-1O08,WBGene00019598
I-1O09,WBGene00022837
I-1O10,WBGene00021552
I-1O11,WBGene00019673
I-1O12,WBGene00021553
I-1O13,WBGene00004888
I-1O14,WBGene00020913
I-1O16,WBGene00020914
I-1O17,WBGene00003400
I-1O18,WBGene00020915
I-1O19,WBGene00022373
I-1O20,WBGene00004154
I-1O21,WBGene00018159
I-1O22,WBGene00020917
I-1O23,WBGene00001773
I-1O24,WBGene00021547
I-1P01,WBGene00020628
I-1P02,WBGene00020655
I-1P03,WBGene00020629
I-1P04,WBGene00000962
I-1P05,WBGene00020652
I-1P06,WBGene00020656
I-1P07,WBGene00020653
I-1P08,WBGene00015704
I-1P09,WBGene00003072
I-1P10,WBGene00016561
I-1P11,WBGene00018530
I-1P12,WBGene00001231
I-1P13,WBGene00018531
I-1P14,WBGene00016562
I-1P15,WBGene00018527
I-1P16,WBGene00016563
I-1P17,WBGene00018528
I-1P18,WBGene00016564
I-1P18,WBGene00016567
I-1P19,WBGene00018529
I-1P20,WBGene00016565
I-1P21,WBGene00018530
I-1P22,WBGene00016566
I-1P23,WBGene00018531
I-1P24,WBGene00016560
I-2A01,WBGene00004218
I-2A02,WBGene00001050
I-2A03,WBGene00020131
I-2A04,WBGene00003221
I-2A06,WBGene00001117
I-2A07,WBGene00016561
I-2A08,WBGene00018791
I-2A09,WBGene00000440
I-2A10,WBGene00003934
I-2A11,WBGene00000629
I-2A12,WBGene00018792
I-2A13,WBGene00017001
I-2A14,WBGene00016727
I-2A15,WBGene00017002
I-2A15,WBGene00044421
I-2A16,WBGene00016728
I-2A17,WBGene00017003
I-2A18,WBGene00016729
I-2A19,WBGene00004479
I-2A20,WBGene00002979
I-2A21,WBGene00017004
I-2A22,WBGene00002979
I-2A23,WBGene00017005
I-2A24,WBGene00016730
I-2B01,WBGene00017860
I-2B02,WBGene00016418
I-2B03,WBGene00017860
I-2B04,WBGene00016419
I-2B05,WBGene00020262
I-2B06,WBGene00016420
I-2B08,WBGene00003996
I-2B09,WBGene00020263
I-2B10,WBGene00016421
I-2B11,WBGene00015632
I-2B12,WBGene00016422
I-2B13,WBGene00015633
I-2B14,WBGene00004109
I-2B15,WBGene00015634
I-2B16,WBGene00016418
I-2B17,WBGene00015635
I-2B18,WBGene00016418
I-2B19,WBGene00004431
I-2B21,WBGene00015636
I-2B22,WBGene00015027
I-2B23,WBGene00019074
I-2B24,WBGene00001676
I-2C01,WBGene00017006
I-2C02,WBGene00016731
I-2C03,WBGene00017007
I-2C04,WBGene00016732
I-2C05,WBGene00017007
I-2C06,WBGene00016733
I-2C07,WBGene00004436
I-2C08,WBGene00016734
I-2C09,WBGene00017009
I-2C10,WBGene00016735
I-2C11,WBGene00004113
I-2C12,WBGene00022464
I-2C13,WBGene00017010
I-2C14,WBGene00004094
I-2C15,WBGene00016650
I-2C17,WBGene00016650
I-2C18,WBGene00003132
I-2C19,WBGene00016652
I-2C20,WBGene00022463
I-2C21,WBGene00016653
I-2C22,WBGene00003924
I-2C22,WBGene00022460
I-2C23,WBGene00016654
I-2C24,WBGene00000502
I-2D01,WBGene00019075
I-2D03,WBGene00019076
I-2D05,WBGene00019077
I-2D06,WBGene00015029
I-2D07,WBGene00019078
I-2D08,WBGene00015030
I-2D09,WBGene00019079
I-2D10,WBGene00015031
I-2D11,WBGene00019080
I-2D11,WBGene00194697
I-2D12,WBGene00015032
I-2D13,WBGene00019081
I-2D14,WBGene00015033
I-2D15,WBGene00019082
I-2D17,WBGene00019083
I-2D18,WBGene00000232
I-2D19,WBGene00019692
I-2D20,WBGene00022304
I-2D21,WBGene00006594
I-2D22,WBGene00022305
I-2D23,WBGene00006594
I-2D23,WBGene00019693
I-2D24,WBGene00015499
I-2E01,WBGene00016655
I-2E02,WBGene00004959
I-2E03,WBGene00016652
I-2E03,WBGene00022466
I-2E04,WBGene00022465
I-2E05,WBGene00015006
I-2E06,WBGene00003924
I-2E06,WBGene00022460
I-2E07,WBGene00015007
I-2E09,WBGene00015008
I-2E10,WBGene00022459
I-2E11,WBGene00004415
I-2E12,WBGene00022458
I-2E13,WBGene00015009
I-2E14,WBGene00022457
I-2E15,WBGene00015010
I-2E16,WBGene00022456
I-2E18,WBGene00003475
I-2E19,WBGene00020212
I-2E20,WBGene00022455
I-2E22,WBGene00006797
I-2E24,WBGene00022454
I-2F02,WBGene00015500
I-2F03,WBGene00019713
I-2F04,WBGene00015501
I-2F05,WBGene00019710
I-2F06,WBGene00015502
I-2F07,WBGene00019711
I-2F08,WBGene00015503
I-2F09,WBGene00019712
I-2F10,WBGene00015504
I-2F11,WBGene00019713
I-2F12,WBGene00006823
I-2F13,WBGene00000474
I-2F14,WBGene00015505
I-2F15,WBGene00002225
I-2F16,WBGene00004380
I-2F17,WBGene00006508
I-2F18,WBGene00015506
I-2F19,WBGene00018508
I-2F20,WBGene00006932
I-2F21,WBGene00000473
I-2F23,WBGene00006456
I-2F24,WBGene00000814
I-2F24,WBGene00194700
I-2G01,WBGene00021109
I-2G02,WBGene00018908
I-2G03,WBGene00021110
I-2G04,WBGene00018909
I-2G05,WBGene00021111
I-2G06,WBGene00003792
I-2G07,WBGene00021112
I-2G08,WBGene00004955
I-2G09,WBGene00021113
I-2G10,WBGene00016327
I-2G11,WBGene00021114
I-2G12,WBGene00016328
I-2G13,WBGene00021109
I-2G13,WBGene00021115
I-2G14,WBGene00016329
I-2G15,WBGene00015691
I-2G16,WBGene00016330
I-2G18,WBGene00015091
I-2G19,WBGene00015692
I-2G22,WBGene00015092
I-2G23,WBGene00015694
I-2H01,WBGene00006726
I-2H02,WBGene00016154
I-2H03,WBGene00006919
I-2H04,WBGene00006492
I-2H05,WBGene00018509
I-2H06,WBGene00016155
I-2H07,WBGene00018510
I-2H07,WBGene00018513
I-2H08,WBGene00000429
I-2H09,WBGene00018513
I-2H10,WBGene00016156
I-2H11,WBGene00018512
I-2H12,WBGene00016157
I-2H13,WBGene00000630
I-2H13,WBGene00044616
I-2H14,WBGene00016158
I-2H16,WBGene00016159
I-2H17,WBGene00004224
I-2H18,WBGene00022748
I-2H19,WBGene00018890
I-2H20,WBGene00001819
I-2H21,WBGene00018891
I-2H22,WBGene00022749
I-2H23,WBGene00018892
I-2I01,WBGene00015695
I-2I02,WBGene00015094
I-2I03,WBGene00015696
I-2I05,WBGene00015697
I-2I06,WBGene00015312
I-2I07,WBGene00002694
I-2I08,WBGene00000540
I-2I09,WBGene00015698
I-2I10,WBGene00000965
I-2I11,WBGene00019767
I-2I12,WBGene00001022
I-2I14,WBGene00001333
I-2I15,WBGene00019769
I-2I16,WBGene00015313
I-2I17,WBGene00019770
I-2I18,WBGene00002717
I-2I19,WBGene00019771
I-2I20,WBGene00002717
I-2I22,WBGene00018594
I-2I23,WBGene00018797
I-2I24,WBGene00018595
I-2J01,WBGene00018893
I-2J02,WBGene00022751
I-2J03,WBGene00018894
I-2J04,WBGene00022752
I-2J05,WBGene00018895
I-2J06,WBGene00022753
I-2J07,WBGene00018896
I-2J08,WBGene00022754
I-2J09,WBGene00018897
I-2J10,WBGene00020838
I-2J11,WBGene00020556
I-2J12,WBGene00020839
I-2J13,WBGene00003793
I-2J14,WBGene00006044
I-2J15,WBGene00020557
I-2J16,WBGene00020840
I-2J17,WBGene00001039
I-2J18,WBGene00020841
I-2J19,WBGene00020558
I-2J20,WBGene00020842
I-2J21,WBGene00006776
I-2J22,WBGene00020843
I-2J23,WBGene00006776
I-2J24,WBGene00045498
I-2K02,WBGene00018596
I-2K03,WBGene00006984
I-2K04,WBGene00002717
I-2K05,WBGene00019008
I-2K06,WBGene00018598
I-2K08,WBGene00018599
I-2K09,WBGene00019011
I-2K10,WBGene00004965
I-2K11,WBGene00019011
I-2K12,WBGene00018600
I-2K12,WBGene00195179
I-2K13,WBGene00002034
I-2K14,WBGene00018862
I-2K15,WBGene00019012
I-2K16,WBGene00018863
I-2K17,WBGene00019013
I-2K18,WBGene00004087
I-2K19,WBGene00015303
I-2K20,WBGene00000966
I-2K21,WBGene00015303
I-2K22,WBGene00018864
I-2K23,WBGene00015303
I-2K24,WBGene00018865
I-2L01,WBGene00015442
I-2L02,WBGene00018979
I-2L02,WBGene00050896
I-2L03,WBGene00020556
I-2L04,WBGene00018980
I-2L05,WBGene00002989
I-2L06,WBGene00018981
I-2L06,WBGene00018982
I-2L07,WBGene00000493
I-2L08,WBGene00003878
I-2L09,WBGene00018993
I-2L10,WBGene00018982
I-2L11,WBGene00018994
I-2L13,WBGene00004505
I-2L14,WBGene00020375
I-2L15,WBGene00018995
I-2L16,WBGene00020376
I-2L17,WBGene00020693
I-2L18,WBGene00020377
I-2L19,WBGene00020694
I-2L20,WBGene00020378
I-2L21,WBGene00015175
I-2L22,WBGene00020379
I-2L23,WBGene00004393
I-2L24,WBGene00020380
I-2M01,WBGene00015303
I-2M02,WBGene00000150
I-2M03,WBGene00017795
I-2M04,WBGene00018866
I-2M05,WBGene00001592
I-2M06,WBGene00004131
I-2M07,WBGene00017671
I-2M08,WBGene00016040
I-2M09,WBGene00017672
I-2M10,WBGene00001491
I-2M11,WBGene00017673
I-2M12,WBGene00000761
I-2M13,WBGene00017674
I-2M14,WBGene00016041
I-2M15,WBGene00006774
I-2M17,WBGene00017675
I-2M18,WBGene00001491
I-2M19,WBGene00017882
I-2M22,WBGene00000761
I-2M23,WBGene00017885
I-2M24,WBGene00016278
I-2M24,WBGene00017855
I-2N01,WBGene00001856
I-2N02,WBGene00020381
I-2N03,WBGene00020693
I-2N04,WBGene00020382
I-2N05,WBGene00000772
I-2N06,WBGene00020383
I-2N08,WBGene00000500
I-2N09,WBGene00003472
I-2N10,WBGene00020258
I-2N11,WBGene00015176
I-2N12,WBGene00000632
I-2N13,WBGene00016331
I-2N14,WBGene00020259
I-2N15,WBGene00003020
I-2N16,WBGene00020260
I-2N17,WBGene00016332
I-2N19,WBGene00001973
I-2N20,WBGene00000633
I-2N21,WBGene00003601
I-2N22,WBGene00020344
I-2N23,WBGene00003601
I-2N24,WBGene00020345
I-2O01,WBGene00017885
I-2O02,WBGene00000761
I-2O03,WBGene00017886
I-2O04,WBGene00016278
I-2O06,WBGene00017851
I-2O07,WBGene00001860
I-2O08,WBGene00017852
I-2O09,WBGene00004900
I-2O10,WBGene00017853
I-2O10,WBGene00017855
I-2O11,WBGene00021014
I-2O12,WBGene00017854
I-2O13,WBGene00021015
I-2O14,WBGene00017853
I-2O14,WBGene00017855
I-2O15,WBGene00000155
I-2O16,WBGene00000230
I-2O17,WBGene00021016
I-2O19,WBGene00003906
I-2O20,WBGene00017858
I-2O21,WBGene00021017
I-2O22,WBGene00017858
I-2O23,WBGene00018789
I-2O24,WBGene00017858
I-2P01,WBGene00016333
I-2P02,WBGene00020346
I-2P03,WBGene00018000
I-2P04,WBGene00020346
I-2P05,WBGene00018001
I-2P06,WBGene00020347
I-2P07,WBGene00000631
I-2P08,WBGene00020347
I-2P08,WBGene00020348
I-2P10,WBGene00001497
I-2P11,WBGene00018002
I-2P12,WBGene00004486
I-2P13,WBGene00018003
I-2P14,WBGene00020349
I-2P16,WBGene00020350
I-2P17,WBGene00018005
I-2P18,WBGene00016749
I-2P19,WBGene00018006
I-2P20,WBGene00016750
I-2P21,WBGene00018007
I-2P22,WBGene00003059
I-2P23,WBGene00018008
I-2P24,WBGene00000583
I-3A01,WBGene00000583
I-3A02,WBGene00017067
I-3A03,WBGene00016751
I-3A04,WBGene00006645
I-3A05,WBGene00016752
I-3A06,WBGene00017068
I-3A07,WBGene00016753
I-3A08,WBGene00022631
I-3A09,WBGene00006689
I-3A10,WBGene00022632
I-3A11,WBGene00015685
I-3A12,WBGene00022633
I-3A13,WBGene00005273
I-3A14,WBGene00017063
I-3A15,WBGene00005274
I-3A16,WBGene00017063
I-3A17,WBGene00005272
I-3A18,WBGene00006625
I-3A19,WBGene00004068
I-3A20,WBGene00022634
I-3A21,WBGene00015686
I-3A22,WBGene00022635
I-3A23,WBGene00015687
I-3A24,WBGene00015907
I-3B01,WBGene00004186
I-3B02,WBGene00007741
I-3B03,WBGene00009052
I-3B04,WBGene00007742
I-3B06,WBGene00012029
I-3B07,WBGene00009054
I-3B08,WBGene00000496
I-3B09,WBGene00000636
I-3B10,WBGene00012030
I-3B11,WBGene00001643
I-3B12,WBGene00012031
I-3B13,WBGene00001644
I-3B14,WBGene00008411
I-3B16,WBGene00008412
I-3B17,WBGene00001614
I-3B18,WBGene00008413
I-3B19,WBGene00006753
I-3B20,WBGene00008414
I-3B21,WBGene00006394
I-3B22,WBGene00008415
I-3B23,WBGene00010738
I-3B24,WBGene00004178
I-3C01,WBGene00015688
I-3C02,WBGene00022635
I-3C03,WBGene00015689
I-3C04,WBGene00015908
I-3C05,WBGene00015690
I-3C06,WBGene00020709
I-3C07,WBGene00194703
I-3C08,WBGene00020710
I-3C09,WBGene00017816
I-3C10,WBGene00020711
I-3C11,WBGene00002073
I-3C12,WBGene00020712
I-3C13,WBGene00000634
I-3C14,WBGene00020713
I-3C15,WBGene00017817
I-3C16,WBGene00020714
I-3C17,WBGene00005171
I-3C19,WBGene00002601
I-3C20,WBGene00020932
I-3C21,WBGene00019394
I-3C22,WBGene00003170
I-3C23,WBGene00019395
I-3C24,WBGene00020933
I-3D01,WBGene00010427
I-3D02,WBGene00008417
I-3D04,WBGene00008418
I-3D04,WBGene00008420
I-3D05,WBGene00010641
I-3D06,WBGene00008419
I-3D07,WBGene00006963
I-3D08,WBGene00000084
I-3D09,WBGene00010642
I-3D10,WBGene00003071
I-3D11,WBGene00010643
I-3D12,WBGene00009254
I-3D13,WBGene00010644
I-3D14,WBGene00009140
I-3D15,WBGene00010869
I-3D16,WBGene00009141
I-3D17,WBGene00010870
I-3D18,WBGene00001214
I-3D19,WBGene00010871
I-3D20,WBGene00009142
I-3D21,WBGene00010872
I-3D22,WBGene00009143
I-3D23,WBGene00001949
I-3D24,WBGene00009144
I-3E01,WBGene00019396
I-3E02,WBGene00002258
I-3E03,WBGene00000254
I-3E04,WBGene00007057
I-3E06,WBGene00002257
I-3E07,WBGene00003499
I-3E08,WBGene00004883
I-3E09,WBGene00019399
I-3E10,WBGene00006773
I-3E11,WBGene00001596
I-3E12,WBGene00020935
I-3E13,WBGene00001596
I-3E14,WBGene00017239
I-3E15,WBGene00001596
I-3E16,WBGene00001682
I-3E17,WBGene00022586
I-3E19,WBGene00022591
I-3E20,WBGene00006819
I-3E21,WBGene00022592
I-3E22,WBGene00004111
I-3E23,WBGene00022593
I-3E24,WBGene00017098
I-3F01,WBGene00010873
I-3F02,WBGene00009145
I-3F03,WBGene00000637
I-3F04,WBGene00011968
I-3F04,WBGene00077728
I-3F06,WBGene00001647
I-3F07,WBGene00007253
I-3F08,WBGene00001595
I-3F09,WBGene00007254
I-3F10,WBGene00011969
I-3F11,WBGene00003622
I-3F12,WBGene00011970
I-3F13,WBGene00007255
I-3F14,WBGene00011971
I-3F15,WBGene00007256
I-3F16,WBGene00011972
I-3F17,WBGene00007257
I-3F18,WBGene00011975
I-3F19,WBGene00007258
I-3F20,WBGene00011970
I-3F21,WBGene00011061
I-3F22,WBGene00009187
I-3F23,WBGene00011062
I-3F24,WBGene00009188
I-3G01,WBGene00004721
I-3G02,WBGene00004110
I-3G03,WBGene00022594
I-3G04,WBGene00016491
I-3G05,WBGene00019992
I-3G06,WBGene00000871
I-3G07,WBGene00019993
I-3G08,WBGene00004111
I-3G09,WBGene00018156
I-3G10,WBGene00016492
I-3G11,WBGene00018157
I-3G12,WBGene00016493
I-3G13,WBGene00018158
I-3G14,WBGene00016494
I-3G15,WBGene00003798
I-3G16,WBGene00017098
I-3G17,WBGene00004924
I-3G18,WBGene00019324
I-3G19,WBGene00020742
I-3G20,WBGene00001056
I-3G21,WBGene00020743
I-3G22,WBGene00019322
I-3G23,WBGene00004273
I-3G24,WBGene00019323
I-3H01,WBGene00000963
I-3H02,WBGene00009189
I-3H03,WBGene00011063
I-3H04,WBGene00006518
I-3H05,WBGene00011064
I-3H06,WBGene00009190
I-3H07,WBGene00011065
I-3H08,WBGene00010291
I-3H09,WBGene00003041
I-3H10,WBGene00003818
I-3H11,WBGene00000275
I-3H12,WBGene00003818
I-3H13,WBGene00011066
I-3H15,WBGene00002348
I-3H16,WBGene00008397
I-3H17,WBGene00006656
I-3H18,WBGene00003746
I-3H19,WBGene00009001
I-3H20,WBGene00008398
I-3H21,WBGene00009002
I-3H22,WBGene00008399
I-3H23,WBGene00004324
I-3H24,WBGene00008400
I-3I02,WBGene00006740
I-3I03,WBGene00019429
I-3I04,WBGene00019324
I-3I05,WBGene00019430
I-3I06,WBGene00004778
I-3I07,WBGene00019431
I-3I08,WBGene00020659
I-3I09,WBGene00019432
I-3I10,WBGene00020660
I-3I11,WBGene00019433
I-3I12,WBGene00001598
I-3I13,WBGene00000386
I-3I14,WBGene00020661
I-3I15,WBGene00019434
I-3I16,WBGene00006423
I-3I17,WBGene00001599
I-3I18,WBGene00016740
I-3I19,WBGene00001627
I-3I20,WBGene00016741
I-3I21,WBGene00016942
I-3I22,WBGene00016742
I-3I23,WBGene00016943
I-3J01,WBGene00009004
I-3J03,WBGene00009005
I-3J04,WBGene00009270
I-3J05,WBGene00008762
I-3J06,WBGene00009271
I-3J07,WBGene00005131
I-3J08,WBGene00009272
I-3J08,WBGene00009276
I-3J09,WBGene00008763
I-3J11,WBGene00008764
I-3J12,WBGene00009274
I-3J13,WBGene00008765
I-3J14,WBGene00009274
I-3J14,WBGene00009277
I-3J15,WBGene00008766
I-3J16,WBGene00006386
I-3J17,WBGene00008767
I-3J18,WBGene00000163
I-3J19,WBGene00001136
I-3J21,WBGene00003236
I-3J22,WBGene00011231
I-3J23,WBGene00008768
I-3J24,WBGene00011232
I-3K01,WBGene00016944
I-3K02,WBGene00004879
I-3K03,WBGene00016945
I-3K04,WBGene00004879
I-3K05,WBGene00019434
I-3K06,WBGene00016744
I-3K07,WBGene00000937
I-3K08,WBGene00016745
I-3K09,WBGene00007018
I-3K10,WBGene00020397
I-3K11,WBGene00016946
I-3K12,WBGene00020398
I-3K13,WBGene00016947
I-3K14,WBGene00020399
I-3K15,WBGene00000483
I-3K16,WBGene00020400
I-3K18,WBGene00020401
I-3K19,WBGene00020412
I-3K20,WBGene00020402
I-3K21,WBGene00020413
I-3K22,WBGene00020403
I-3K23,WBGene00020414
I-3K24,WBGene00020404
I-3L01,WBGene00009915
I-3L04,WBGene00011234
I-3L05,WBGene00009916
I-3L06,WBGene00011235
I-3L07,WBGene00009917
I-3L08,WBGene00010110
I-3L09,WBGene00009918
I-3L10,WBGene00010111
I-3L11,WBGene00009919
I-3L13,WBGene00002136
I-3L14,WBGene00006790
I-3L15,WBGene00008541
I-3L16,WBGene00010113
I-3L17,WBGene00008542
I-3L17,WBGene00008543
I-3L18,WBGene00006790
I-3L18,WBGene00010114
I-3L19,WBGene00008543
I-3L20,WBGene00008990
I-3L21,WBGene00006306
I-3L22,WBGene00008991
I-3L23,WBGene00006306
I-3L24,WBGene00003777
I-3M02,WBGene00016260
I-3M03,WBGene00020416
I-3M04,WBGene00016260
I-3M05,WBGene00020417
I-3M06,WBGene00016261
I-3M07,WBGene00020418
I-3M08,WBGene00016262
I-3M09,WBGene00020419
I-3M10,WBGene00016263
I-3M11,WBGene00002783
I-3M12,WBGene00016264
I-3M13,WBGene00019001
I-3M14,WBGene00016265
I-3M15,WBGene00019002
I-3M16,WBGene00016266
I-3M17,WBGene00019003
I-3M18,WBGene00003964
I-3M19,WBGene00019004
I-3M20,WBGene00010369
I-3M21,WBGene00006607
I-3M22,WBGene00010370
I-3M23,WBGene00019005
I-3N01,WBGene00006754
I-3N03,WBGene00000612
I-3N05,WBGene00007597
I-3N06,WBGene00011916
I-3N07,WBGene00004944
I-3N08,WBGene00011917
I-3N09,WBGene00007598
I-3N10,WBGene00002179
I-3N11,WBGene00000596
