A0FLQ6,O75417
O45487,O95834
O45487,Q05BV3
O45487,Q32P44
O45487,Q6ZMW3
O45487,Q9HC35
C5NU64,Q17R89
C5NU64,Q68EM7
C5NU64,Q9Y3L3
C5VUK2,Q7L5N1
Q95PZ0,Q7L5N1
C6KRH8,A7KAX9
C6KRH8,O14559
C6KRH8,Q2M1Z3
C6KRH8,Q7Z6I6
Q20498,A7KAX9
Q20498,O14559
Q20498,Q2M1Z3
Q20498,Q7Z6I6
C6KRL4,Q8TEB1
P90794,Q8TEB1
C6KRL6,A8MTL3
C6KRM7,A6NGN9
C6KRM7,Q13449
C6KRM7,Q14982
C6KRM7,Q7Z3B1
C6KRM7,Q9P121
C6KRN3,Q96EC8
C6KRQ4,P09172
Q9XTQ6,P09172
C6S3M5,Q10471
C6S3M5,Q8N428
C6S3M5,Q96FL9
Q8I136,Q10471
Q8I136,Q8N428
Q8I136,Q96FL9
C7FZU5,P30536
C7IVS4,P09884
C8JQQ9,Q14004
C8JQQ9,Q9NYV4
P46551,Q14004
P46551,Q9NYV4
D0FK02,Q5HYI8
D0IMZ5,O75369
D0IMZ5,P21333
D0IMZ5,Q14315
Q3V5H2,O75369
Q3V5H2,P21333
Q3V5H2,Q14315
D0PV95,O00571
D0PV95,O15523
Q65XX1,O00571
Q65XX1,O15523
D0VWM8,Q13148
Q20414,Q13148
D0VWN5,O60256
D0VWN5,Q14558
D0Z5N1,P16220
D0Z5N1,P18846
D0Z5N1,Q03060
D0Z5N4,Q9P2K8
D0Z5P0,Q15643
D1MN65,O76081
D1MN65,P49795
D1MN65,Q9UGC6
G5EFV0,O76081
G5EFV0,P49795
G5EFV0,Q9UGC6
P34295,O76081
P34295,P49795
P34295,Q9UGC6
P49808,O76081
P49808,P49795
P49808,Q9UGC6
D1MN74,Q8NCT1
D1MN74,Q8TBH0
D1MN74,Q96B67
D1MN80,Q96DC8
D3DEL7,O00192
D3DEL7,O60716
D3DEL7,Q99569
D3DEL7,Q9UQB3
Q9U308,O00192
Q9U308,O60716
Q9U308,Q99569
Q9U308,Q9UQB3
D3KFR7,Q9NQE9
D3KZG3,Q7Z5M5
D3KZG3,Q8TDI7
D3KZG3,Q8TDI8
D3YT08,P48050
D3YT08,P48051
D3YT08,P48544
D3YT08,P48549
D3YT08,P63252
D3YT08,Q14500
D3YT08,Q92806
D3YT08,Q9UNX9
P52192,P48050
P52192,P48051
P52192,P48544
P52192,P48549
P52192,P63252
P52192,Q14500
P52192,Q92806
P52192,Q9UNX9
D3YT15,O14782
D3YT15,O15066
Q8MQ68,O14782
Q8MQ68,O15066
D3YT25,P07332
D3YT25,P16591
Q19726,P07332
Q19726,P16591
D3YT50,Q96EB6
Q21921,Q96EB6
D3YT55,P56192
Q20970,P56192
D3YT61,P42575
G5EBM1,P42575
P42573,P42575
D3YT61,P42574
D3YT61,P55210
D3YT61,Q14790
G5EBM1,P42574
G5EBM1,P55210
G5EBM1,Q14790
P42573,P42574
P42573,P55210
P42573,Q14790
D3YT91,Q13017
D3YT91,Q9NRY4
O45611,Q13017
O45611,Q9NRY4
D3YT95,P47897
O62431,P47897
D4PH96,Q8WWM7
D4YW53,Q96PU8
Q17339,Q96PU8
D4YWC2,Q9Y2B2
D4YWC5,A5PKW4
D4YWC5,Q8NDX1
D4YWC5,Q9BQI7
D4YWC5,Q9NYI0
G5EET6,A5PKW4
G5EET6,Q8NDX1
G5EET6,Q9BQI7
G5EET6,Q9NYI0
D5MCN2,Q659C4
D5MCN2,Q6PKG0
D5MCR3,P29558
D5MCR3,Q15434
D5MCR3,Q6XE24
Q21900,P29558
Q21900,Q15434
Q21900,Q6XE24
D6R8X0,P27487
D6R8X0,P42658
D6R8X0,Q12884
D6R8X0,Q8N608
Q7JKY3,P27487
Q7JKY3,P42658
Q7JKY3,Q12884
Q7JKY3,Q8N608
D6RYD7,Q7Z7B1
D6RYD9,P30047
D6RYE3,Q9UGH3
D6RYE3,Q9UHI7
O18057,Q9UGH3
O18057,Q9UHI7
O18061,Q9UGH3
O18061,Q9UHI7
Q18771,Q9UGH3
Q18771,Q9UHI7
Q9TYX7,Q9UGH3
Q9TYX7,Q9UHI7
D6VPA1,Q86T65
D6VPA1,Q9Y4D1
D7SFI3,P78417
D7SFI3,Q9H4Y5
O17234,P78417
O17234,Q9H4Y5
O45352,P78417
O45352,Q9H4Y5
P34277,P78417
P34277,Q9H4Y5
P34345,P78417
P34345,Q9H4Y5
D7SFI5,Q6HA08
P55112,Q6HA08
P55113,Q6HA08
P55115,Q6HA08
Q19269,Q6HA08
Q20191,Q6HA08
D7SFI5,Q16819
D7SFI5,Q16820
P55112,Q16819
P55112,Q16820
P55113,Q16819
P55113,Q16820
P55115,Q16819
P55115,Q16820
Q19269,Q16819
Q19269,Q16820
Q20191,Q16819
Q20191,Q16820
D7SFN0,Q9P1Q0
Q22639,Q9P1Q0
D7SFQ5,O14976
D7SFQ5,O75061
G5EDJ6,O14976
G5EDJ6,O75061
D9N129,Q09019
D9N129,Q8TBZ3
D9PTN5,Q96LU7
D9PTN5,Q9Y2G1
G5EFI7,Q96LU7
G5EFI7,Q9Y2G1
D9PTP5,Q86XE0
D9PTP5,Q9UNH7
D9PTP5,Q9Y5X3
E0AHA7,O15020
E0AHA7,P11277
E0AHA7,Q01082
G5EG85,O15020
G5EG85,P11277
G5EG85,Q01082
E0AHC2,P78545
E0AHC2,Q9NZC4
E0AHC2,Q9UKW6
G5EC57,P78545
G5EC57,Q9NZC4
G5EC57,Q9UKW6
E0AHC6,Q99689
E0AHC6,Q9UHY8
Q7JL62,Q99689
Q7JL62,Q9UHY8
E0AHC9,Q13625
E0AHC9,Q8WUF5
E0AHC9,Q96KQ4
Q9XVN3,Q13625
Q9XVN3,Q8WUF5
Q9XVN3,Q96KQ4
E0AHD3,Q6QHF9
E0AHD3,Q9NWM0
O76383,Q6QHF9
O76383,Q9NWM0
E0DBL0,Q13686
E0R7L2,Q13685
E1B6Q7,Q7Z4H3
E1B6S1,Q14542
E1B6S1,Q99808
E1B6S1,Q9BZD2
G5EDJ3,Q14542
G5EDJ3,Q99808
G5EDJ3,Q9BZD2
Q19495,Q14542
Q19495,Q99808
Q19495,Q9BZD2
Q21145,Q14542
Q21145,Q99808
Q21145,Q9BZD2
Q93871,Q14542
Q93871,Q99808
Q93871,Q9BZD2
Q9U3L8,Q14542
Q9U3L8,Q99808
Q9U3L8,Q9BZD2
E1NZ10,Q00532
E1NZ10,Q5MAI5
E1TU65,Q9HC21
E2JKY9,A6NCE7
E2JKY9,Q9BXW4
E2JKY9,Q9GZQ8
E2JKY9,Q9H492
Q23536,A6NCE7
Q23536,Q9BXW4
Q23536,Q9GZQ8
Q23536,Q9H492
E2JKZ0,Q14203
E2JL04,Q9NSE4
E2S7J2,P07098
E2S7J2,P38571
E2S7J2,Q5VXI9
E2S7J2,Q5VXJ0
E2S7J2,Q5VYY2
E2S7J2,Q5W064
O16956,P07098
O16956,P38571
O16956,Q5VXI9
O16956,Q5VXJ0
O16956,Q5VYY2
O16956,Q5W064
O61866,P07098
O61866,P38571
O61866,Q5VXI9
O61866,Q5VXJ0
O61866,Q5VYY2
O61866,Q5W064
Q20449,P07098
Q20449,P38571
Q20449,Q5VXI9
Q20449,Q5VXJ0
Q20449,Q5VYY2
Q20449,Q5W064
Q93789,P07098
Q93789,P38571
Q93789,Q5VXI9
Q93789,Q5VXJ0
Q93789,Q5VYY2
Q93789,Q5W064
E5QCE7,Q8N7S2
E5QCE7,Q9H3Z4
E5QCE7,Q9UF47
E5QCG0,Q76MJ5
Q09499,Q76MJ5
E5QCG9,Q13535
Q22258,Q13535
E5QCH1,Q9H0H0
E5QCI3,Q92685
E6N0V1,O43559
E6N0V1,Q8WU20
E9P851,Q6DN12
E9P851,Q6DN14
E9P860,Q9P2E3
E9P861,Q5VWG9
E9P886,Q6EMB2
E9RKC7,Q12906
E9RKC7,Q96KR1
E9RKC7,Q96SI9
E9RKC7,Q9UPR6
F0IWT2,B2RTY4
F0IWT2,Q13459
F3Y5P4,A6NC98
F3Y5P4,Q3V6T2
F3Y5P4,Q9P219
F3Y5P6,Q6IA69
Q9XXK6,Q6IA69
F3Y5P8,P04183
F5GU86,Q7L8S5
F5GU86,Q8N6M0
F5GUA1,O75752
Q95US5,O75752
F5GUA7,Q4VNC0
F5GUA7,Q4VNC1
F5GUA7,Q9H7F0
F5GUA7,Q9NQ11
Q21286,Q4VNC0
Q21286,Q4VNC1
Q21286,Q9H7F0
Q21286,Q9NQ11
Q27533,Q4VNC0
Q27533,Q4VNC1
Q27533,Q9H7F0
Q27533,Q9NQ11
Q9N323,Q4VNC0
Q9N323,Q4VNC1
Q9N323,Q9H7F0
Q9N323,Q9NQ11
F5GUC6,O14678
F5GUC9,P49758
F5GUC9,P49802
P49809,P49758
P49809,P49802
F5GUD1,Q9HB14
F5GUD1,Q9HB15
F5GUD3,O43280
G5EC40,O43280
G5EG96,O43280
F9UKV1,O95747
F9UKV1,Q9UEW8
G5EEN4,O95747
G5EEN4,Q9UEW8
G1K0V8,P63241
G1K0V8,Q6IS14
G1K0V8,Q9GZV4
P34563,P63241
P34563,Q6IS14
P34563,Q9GZV4
Q20751,P63241
Q20751,Q6IS14
Q20751,Q9GZV4
G1K0W1,Q9Y2G5
Q8WR51,Q9Y2G5
G1K0X1,Q8IUS5
G1K0X1,Q9H6B9
G5EBI4,Q8IUS5
G5EBI4,Q9H6B9
G5EDL5,Q8IUS5
G5EDL5,Q9H6B9
G3MU08,Q99757
Q17424,Q99757
G3MU14,P62140
Q27497,P62140
G3MU29,P15085
G3MU29,P15086
G3MU29,P15088
G3MU29,P48052
G3MU29,Q8N4T0
G3MU29,Q8WXQ8
G3MU29,Q9UI42
H2L0D7,P15085
H2L0D7,P15086
H2L0D7,P15088
H2L0D7,P48052
H2L0D7,Q8N4T0
H2L0D7,Q8WXQ8
H2L0D7,Q9UI42
H2L0K5,P15085
H2L0K5,P15086
H2L0K5,P15088
H2L0K5,P48052
H2L0K5,Q8N4T0
H2L0K5,Q8WXQ8
H2L0K5,Q9UI42
Q6A577,P15085
Q6A577,P15086
Q6A577,P15088
Q6A577,P48052
Q6A577,Q8N4T0
Q6A577,Q8WXQ8
Q6A577,Q9UI42
Q9BL88,P15085
Q9BL88,P15086
Q9BL88,P15088
Q9BL88,P48052
Q9BL88,Q8N4T0
Q9BL88,Q8WXQ8
Q9BL88,Q9UI42
Q9XU75,P15085
Q9XU75,P15086
Q9XU75,P15088
Q9XU75,P48052
Q9XU75,Q8N4T0
Q9XU75,Q8WXQ8
Q9XU75,Q9UI42
G3MU35,Q13286
G5EBM4,Q13286
G5ECU8,Q13286
G5EES1,Q13286
G3MU38,A6NHG4
G3MU38,P30046
Q18785,A6NHG4
Q18785,P30046
G3MU68,A0PG75
G3MU68,O15162
G3MU68,Q9NRQ2
G3MU68,Q9NRY6
G3MU68,Q9NRY7
G5EEQ3,A0PG75
G5EEQ3,O15162
G5EEQ3,Q9NRQ2
G5EEQ3,Q9NRY6
G5EEQ3,Q9NRY7
G5EG07,A0PG75
G5EG07,O15162
G5EG07,Q9NRQ2
G5EG07,Q9NRY6
G5EG07,Q9NRY7
O45799,A0PG75
O45799,O15162
O45799,Q9NRQ2
O45799,Q9NRY6
O45799,Q9NRY7
G3MU83,Q93009
Q7JKC3,Q93009
G4RT15,A6NKB5
G4RT15,Q96RV3
G4RT15,Q9H6A9
G4RYA5,P08240
G4RZC8,H0YIQ1
G4RZC8,Q13387
G4RZC8,Q9UQF2
G4S035,Q9Y5V0
G5EDA6,Q9Y5V0
G4S4A1,P54289
G4S4A1,Q7Z3S7
G4S4A1,Q8IZS8
G4S4A1,Q9NY47
P34374,P54289
P34374,Q7Z3S7
P34374,Q8IZS8
P34374,Q9NY47
G4S7C7,Q0D2K0
G4S7C7,Q6NVV3
G4S7C7,Q8N8Q9
G4SB35,P29374
G4SDH4,Q9HAB3
G4SDH4,Q9NQ40
G4SDH4,Q9NWF4
Q3LFN0,Q9HAB3
Q3LFN0,Q9NQ40
Q3LFN0,Q9NWF4
G4SFC3,O60840
G4SFC3,Q01668
G4SFC3,Q13698
G4SFC3,Q13936
G4SJU0,A8MU46
G4SJU0,P53814
G4SJU0,Q2TAL5
G4SNB8,Q9UL33
G4SNP0,O95427
G4SNP8,P32238
P91487,P32238
G4SNS6,E7EVK2
G4SNS6,E9PI62
G4SQY7,Q495M3
G4SQY7,Q495N2
G4SQY7,Q6YBV0
G4SQY7,Q7Z2H8
O45936,Q495M3
O45936,Q495N2
O45936,Q6YBV0
O45936,Q7Z2H8
G4SRS5,O75027
G4SSQ1,Q5T1Q4
G4SSQ1,Q8IXU6
G5EBE2,O95759
G5EBE2,Q0IIM8
G5EBE2,Q66K14
G5EBE2,Q6ZT07
K8F7X2,O95759
K8F7X2,Q0IIM8
K8F7X2,Q66K14
K8F7X2,Q6ZT07
G5EBE3,Q86X95
G5EBE4,Q8NBS3
G5EBE8,Q5JSL3
G5EBE8,Q96BY6
G5EBE8,Q9BZ29
G5EBF0,O14966
G5EBF0,P57729
G5EBF0,Q13637
G5EBF1,Q96MS0
G5EBF1,Q9HCK4
G5EBF1,Q9Y6N7
G5EBF2,Q96EF0
G5EBF2,Q9Y216
G5EBF2,Q9Y217
G5EBF4,Q99538
G5EBF7,P30988
G5EBF7,P32241
G5EBF7,P34998
G5EBF7,P41586
G5EBF7,P43220
G5EBF7,P47872
G5EBF7,P49190
G5EBF7,Q03431
G5EBF7,Q13324
G5EBG2,Q9BTV6
G5EBG6,Q96RK0
G5EBH0,Q00722
G5EBH0,Q01970
G5EBH0,Q15147
G5EBH0,Q9NQ66
G5EBH1,O43861
G5EBH1,O75110
P91203,O43861
P91203,O75110
G5EBH6,O75907
G5EBH7,O43852
G5EBH7,Q15293
G5EBH7,Q96D15
G5EBI0,P51572
G5EBI0,Q9UHQ4
G5EBJ4,Q9Y283
G5EBJ7,O00757
G5EBJ7,P09467
G5EBJ9,O60774
G5EBJ9,P31512
G5EBJ9,P31513
G5EBJ9,P49326
G5EBJ9,Q01740
G5EBJ9,Q99518
G5ECJ8,O60774
G5ECJ8,P31512
G5ECJ8,P31513
G5ECJ8,P49326
G5ECJ8,Q01740
G5ECJ8,Q99518
G5ED43,O60774
G5ED43,P31512
G5ED43,P31513
G5ED43,P49326
G5ED43,Q01740
G5ED43,Q99518
G5EDP6,O60774
G5EDP6,P31512
G5EDP6,P31513
G5EDP6,P49326
G5EDP6,Q01740
G5EDP6,Q99518
G5EBK0,O75140
G5EBK3,P15311
G5EBK3,P26038
G5EBK3,P35241
G5EBK4,O95352
G5EBK7,O95395
G5EBK7,Q02742
G5EBK7,Q5T4J0
G5EBK7,Q6ZNI0
G5EBK7,Q8N0V5
G5EBK7,Q9P109
G5ECK8,O95395
G5ECK8,Q02742
G5ECK8,Q5T4J0
G5ECK8,Q6ZNI0
G5ECK8,Q8N0V5
G5ECK8,Q9P109
G5EDP7,O95395
G5EDP7,Q02742
G5EDP7,Q5T4J0
G5EDP7,Q6ZNI0
G5EDP7,Q8N0V5
G5EDP7,Q9P109
G5EEZ8,O95395
G5EEZ8,Q02742
G5EEZ8,Q5T4J0
G5EEZ8,Q6ZNI0
G5EEZ8,Q8N0V5
G5EEZ8,Q9P109
O02315,O95395
O02315,Q02742
O02315,Q5T4J0
O02315,Q6ZNI0
O02315,Q8N0V5
O02315,Q9P109
Q19730,O95395
Q19730,Q02742
Q19730,Q5T4J0
Q19730,Q6ZNI0
Q19730,Q8N0V5
Q19730,Q9P109
G5EBK8,P10301
G5EBK8,P62070
G5EBM7,P16671
G5EBM7,Q14108
G5EBM7,Q8WTV0
Q11124,P16671
Q11124,Q14108
Q11124,Q8WTV0
Q9XTT3,P16671
Q9XTT3,Q14108
Q9XTT3,Q8WTV0
G5EBN7,Q9Y2E8
G5EBR3,O75311
G5EBR3,P23415
G5EBR3,P23416
G5EBR3,P48167
G5EBR3,Q5JXX5
G5ECH3,O75311
G5ECH3,P23415
G5ECH3,P23416
G5ECH3,P48167
G5ECH3,Q5JXX5
G5EEZ3,O75311
G5EEZ3,P23415
G5EEZ3,P23416
G5EEZ3,P48167
G5EEZ3,Q5JXX5
Q95Q97,O75311
Q95Q97,P23415
Q95Q97,P23416
Q95Q97,P48167
Q95Q97,Q5JXX5
G5EBR7,P27695
G5EBS1,Q9H3H1
G5EBS5,O00194
G5EBS5,P51159
G5EBT7,Q68BL8
