CE_WB_CURRENT,HS_ENSG,CE_WB_OLD,CE_WB_COMMENT,CE_UNIPROT,HS_UNIPROT
WBGene00000072,ENSG00000148700,WBGene00000072,,Q9U9K0,Q9UEY8
WBGene00000074,ENSG00000042980,WBGene00000074,,G5EDW5,Q9UKQ2
WBGene00000074,ENSG00000069206,WBGene00000074,,G5EDW5,Q9H2U9
WBGene00000074,ENSG00000134007,WBGene00000074,,G5EDW5,O43506
WBGene00000074,ENSG00000134249,WBGene00000074,,G5EDW5,Q9UKF2
WBGene00000074,ENSG00000135074,WBGene00000074,,G5EDW5,Q9H013
WBGene00000074,ENSG00000139985,WBGene00000074,,G5EDW5,Q9UKJ8
WBGene00000074,ENSG00000148848,WBGene00000074,,G5EDW5,O43184
WBGene00000074,ENSG00000149451,WBGene00000074,,G5EDW5,Q9BZ11
WBGene00000074,ENSG00000151651,WBGene00000074,,G5EDW5,P78325
WBGene00000074,ENSG00000168594,WBGene00000074,,G5EDW5,Q9UKF5
WBGene00000074,ENSG00000168615,WBGene00000074,,G5EDW5,Q13443
WBGene00000075,ENSG00000151694,WBGene00000075,,Q94316,P78536
WBGene00000080,ENSG00000160710,WBGene00000080,,Q22618,P55265
WBGene00000080,ENSG00000185736,WBGene00000080,,Q22618,Q9NS39
WBGene00000080,ENSG00000197381,WBGene00000080,,Q22618,P78563
WBGene00000081,ENSG00000018510,WBGene00000081,,O45218,O00116
WBGene00000086,ENSG00000110514,WBGene00000086,,O02626,Q8WXG6
WBGene00000089,ENSG00000041353,WBGene00000089,,G5EBS5,O00194
WBGene00000089,ENSG00000069974,WBGene00000089,,G5EBS5,P51159
WBGene00000090,ENSG00000121879,WBGene00000090,,Q94125,P42336
WBGene00000092,ENSG00000121957,WBGene00000092,,H2KZ12,P81274
WBGene00000092,ENSG00000160360,WBGene00000092,,H2KZ12,Q86YR5
WBGene00000095,ENSG00000143437,WBGene00000095,,O02219,P27540
WBGene00000095,ENSG00000172379,WBGene00000095,,O02219,Q9HBZ2
WBGene00000096,ENSG00000063438,WBGene00000096,,O44712,A9YTQ3
WBGene00000096,ENSG00000106546,WBGene00000096,,O44712,P35869
WBGene00000097,ENSG00000158552,WBGene00000097,,Q9XUW8,Q8WV99
WBGene00000097,ENSG00000178381,WBGene00000097,,Q9XUW8,Q8N6M9
WBGene00000099,ENSG00000087586,WBGene00000099,,O01427,O14965
WBGene00000099,ENSG00000105146,WBGene00000099,,O01427,Q9UQB9
WBGene00000099,ENSG00000178999,WBGene00000099,,O01427,Q96GD4
WBGene00000100,ENSG00000232434,WBGene00000100,,H2KYC4,C9J069
WBGene00000101,ENSG00000039319,WBGene00000101,,H2KZI9,Q7Z3T8
WBGene00000101,ENSG00000157077,WBGene00000101,,H2KZI9,O95405
WBGene00000102,ENSG00000105221,WBGene00000102,,Q17941,P31751
WBGene00000102,ENSG00000117020,WBGene00000102,,Q17941,Q9Y243
WBGene00000102,ENSG00000142208,WBGene00000102,,Q17941,P31749
WBGene00000102,ENSG00000275199,WBGene00000102,,Q17941,Q9Y243
WBGene00000103,ENSG00000105221,WBGene00000103,,Q9XTG7,P31751
WBGene00000103,ENSG00000117020,WBGene00000103,,Q9XTG7,Q9Y243
WBGene00000103,ENSG00000142208,WBGene00000103,,Q9XTG7,P31749
WBGene00000103,ENSG00000275199,WBGene00000103,,Q9XTG7,Q9Y243
WBGene00000105,ENSG00000092847,WBGene00000105,,G5EES3,Q9UL18
WBGene00000105,ENSG00000123908,WBGene00000105,,G5EES3,Q9UKV8
WBGene00000105,ENSG00000126070,WBGene00000105,,G5EES3,Q9H9G7
WBGene00000105,ENSG00000134698,WBGene00000105,,G5EES3,Q9HCK5
WBGene00000106,ENSG00000092847,WBGene00000106,,O16720,Q9UL18
WBGene00000106,ENSG00000123908,WBGene00000106,,O16720,Q9UKV8
WBGene00000106,ENSG00000126070,WBGene00000106,,O16720,Q9H9G7
WBGene00000106,ENSG00000134698,WBGene00000106,,O16720,Q9HCK5
WBGene00000107,ENSG00000111275,WBGene00000107,,Q20780,P05091
WBGene00000107,ENSG00000128918,WBGene00000107,,Q20780,O94788
WBGene00000107,ENSG00000137124,WBGene00000107,,Q20780,P30837
WBGene00000107,ENSG00000165092,WBGene00000107,,Q20780,P00352
WBGene00000108,ENSG00000111275,WBGene00000108,,Q9TXM0,P05091
WBGene00000108,ENSG00000128918,WBGene00000108,,Q9TXM0,O94788
WBGene00000108,ENSG00000137124,WBGene00000108,,Q9TXM0,P30837
WBGene00000108,ENSG00000165092,WBGene00000108,,Q9TXM0,P00352
WBGene00000109,ENSG00000136010,WBGene00000109,,G5ECV9,Q3SY69
WBGene00000109,ENSG00000144908,WBGene00000109,,G5ECV9,O75891
WBGene00000110,ENSG00000072210,WBGene00000110,,Q86S57,P51648
WBGene00000110,ENSG00000108602,WBGene00000110,,Q86S57,P30838
WBGene00000111,ENSG00000072210,WBGene00000111,,O44555,P51648
WBGene00000111,ENSG00000108602,WBGene00000111,,O44555,P30838
WBGene00000112,ENSG00000159423,WBGene00000112,,G5EC31,P30038
WBGene00000113,ENSG00000112294,WBGene00000113,,O02266,P51649
WBGene00000114,ENSG00000119711,WBGene00000114,,P52713,Q02252
WBGene00000115,ENSG00000164904,WBGene00000115,,P46562,P49419
WBGene00000116,ENSG00000118514,WBGene00000116,,Q18822,Q9H2A2
WBGene00000117,ENSG00000143149,WBGene00000117,,Q20352,P49189
WBGene00000118,ENSG00000143149,WBGene00000118,,Q7Z1Q3,P49189
WBGene00000137,ENSG00000165097,WBGene00000137,,Q21988,Q8NB78
WBGene00000139,ENSG00000088826,WBGene00000139,,E0AHD3,Q9NWM0
WBGene00000139,ENSG00000148832,WBGene00000139,,E0AHD3,Q6QHF9
WBGene00000140,ENSG00000131018,WBGene00000140,,Q9N4M4,Q8NF91
WBGene00000142,ENSG00000142230,WBGene00000142,,Q17820,Q9UBE0
WBGene00000143,ENSG00000176248,WBGene00000143,,P34514,Q9UJX6
WBGene00000145,ENSG00000141552,WBGene00000145,,Q20052,Q9NYG5
WBGene00000146,ENSG00000088808,WBGene00000146,,E0AHC9,Q96KQ4
WBGene00000146,ENSG00000088808,WBGene00000146,,Q9XVN3,Q96KQ4
WBGene00000146,ENSG00000104881,WBGene00000146,,E0AHC9,Q8WUF5
WBGene00000146,ENSG00000104881,WBGene00000146,,Q9XVN3,Q8WUF5
WBGene00000146,ENSG00000143514,WBGene00000146,,E0AHC9,Q13625
WBGene00000146,ENSG00000143514,WBGene00000146,,Q9XVN3,Q13625
WBGene00000147,ENSG00000117362,WBGene00000147,,O45876,Q96BI3
WBGene00000147,ENSG00000138613,WBGene00000147,,O45876,Q8WW43
WBGene00000148,ENSG00000162736,WBGene00000148,,A5Z2T7,Q92542
WBGene00000148,ENSG00000162736,WBGene00000148,,Q23316,Q92542
WBGene00000149,ENSG00000084234,WBGene00000149,,Q10651,Q06481
WBGene00000149,ENSG00000105290,WBGene00000149,,Q10651,P51693
WBGene00000149,ENSG00000142192,WBGene00000149,,Q10651,P05067
WBGene00000155,ENSG00000108039,WBGene00000155,,O44750,Q9NQW7
WBGene00000155,ENSG00000122121,WBGene00000155,,O44750,O43895
WBGene00000156,ENSG00000134982,WBGene00000156,,Q21227,P25054
WBGene00000157,ENSG00000042753,WBGene00000157,,Q19123,P53680
WBGene00000158,ENSG00000166747,WBGene00000158,,Q8WQB3,O43747
WBGene00000158,ENSG00000213983,WBGene00000158,,Q8WQB3,O75843
WBGene00000159,ENSG00000106367,WBGene00000159,,O16369,P61966
WBGene00000159,ENSG00000182287,WBGene00000159,,O16369,P56377
WBGene00000160,ENSG00000006125,WBGene00000160,,Q9N4F3,P63010
WBGene00000160,ENSG00000100280,WBGene00000160,,Q9N4F3,Q10567
WBGene00000161,ENSG00000183020,WBGene00000161,,Q22601,O94973
WBGene00000161,ENSG00000196961,WBGene00000161,,Q22601,O95782
WBGene00000162,ENSG00000065000,WBGene00000162,,O16637,O14617
WBGene00000163,ENSG00000103723,WBGene00000163,,O45718,Q13367
WBGene00000163,ENSG00000132842,WBGene00000163,,O45718,O00203
WBGene00000164,ENSG00000070718,WBGene00000164,,Q20736,P53677
WBGene00000164,ENSG00000185009,WBGene00000164,,Q20736,Q9Y2T2
WBGene00000165,ENSG00000157823,WBGene00000165,,Q8T874,P59780
WBGene00000165,ENSG00000177879,WBGene00000165,,Q8T874,Q92572
WBGene00000165,ENSG00000242498,WBGene00000165,,Q8T874,E2QRD5
WBGene00000166,ENSG00000100083,WBGene00000166,,Q23165,Q9UJY5
WBGene00000166,ENSG00000103365,WBGene00000166,,Q23165,Q9UJY4
WBGene00000166,ENSG00000125447,WBGene00000166,,Q23165,Q9NZ52
WBGene00000169,ENSG00000103569,WBGene00000169,,Q19949,O43315
WBGene00000169,ENSG00000143595,WBGene00000169,,Q19949,Q96PS8
WBGene00000169,ENSG00000165269,WBGene00000169,,Q19949,O14520
WBGene00000169,ENSG00000165272,WBGene00000169,,Q19949,Q92482
WBGene00000170,ENSG00000103569,WBGene00000170,,Q17571,O43315
WBGene00000170,ENSG00000143595,WBGene00000170,,Q17571,Q96PS8
WBGene00000170,ENSG00000165269,WBGene00000170,,Q17571,O14520
WBGene00000170,ENSG00000165272,WBGene00000170,,Q17571,Q92482
WBGene00000171,ENSG00000103569,WBGene00000171,,Q9XW36,O43315
WBGene00000171,ENSG00000143595,WBGene00000171,,Q9XW36,Q96PS8
WBGene00000171,ENSG00000165269,WBGene00000171,,Q9XW36,O14520
WBGene00000171,ENSG00000165272,WBGene00000171,,Q9XW36,Q92482
WBGene00000172,ENSG00000103375,WBGene00000172,,G5EEK0,O94778
WBGene00000173,ENSG00000103375,WBGene00000173,,Q18469,O94778
WBGene00000174,ENSG00000103375,WBGene00000174,,H2FLH4,O94778
WBGene00000175,ENSG00000103569,WBGene00000175,,Q21473,O43315
WBGene00000175,ENSG00000143595,WBGene00000175,,Q21473,Q96PS8
WBGene00000175,ENSG00000165269,WBGene00000175,,Q21473,O14520
WBGene00000175,ENSG00000165272,WBGene00000175,,Q21473,Q92482
WBGene00000180,ENSG00000113595,WBGene00000180,,Q09654,P36406
WBGene00000181,ENSG00000072506,WBGene00000181,,Q19102,Q99714
WBGene00000182,ENSG00000134287,WBGene00000182,,Q10943,P61204
WBGene00000182,ENSG00000143761,WBGene00000182,,Q10943,P84077
WBGene00000184,ENSG00000165527,WBGene00000184,,Q9U2S4,P62330
WBGene00000187,ENSG00000120805,WBGene00000187,,Q20758,P40616
WBGene00000188,ENSG00000138175,WBGene00000188,,O45379,P36405
WBGene00000189,ENSG00000141748,WBGene00000189,,P34212,A6NH57
WBGene00000189,ENSG00000162980,WBGene00000189,,P34212,Q9Y689
WBGene00000189,ENSG00000165997,WBGene00000189,,P34212,Q96KC2
WBGene00000192,ENSG00000134108,WBGene00000192,,G5EDC6,Q9NVJ2
WBGene00000192,ENSG00000143862,WBGene00000192,,G5EDC6,Q96BM9
WBGene00000193,ENSG00000113966,WBGene00000193,,Q18510,Q9H0F7
WBGene00000195,ENSG00000120500,WBGene00000195,,P51485,P36575
WBGene00000195,ENSG00000137486,WBGene00000195,,P51485,P49407
WBGene00000195,ENSG00000141480,WBGene00000195,,P51485,P32121
WBGene00000197,ENSG00000090861,WBGene00000197,,O01541,P49588
WBGene00000198,ENSG00000099797,WBGene00000198,,Q9N5Y2,Q9NZ01
WBGene00000198,ENSG00000205678,WBGene00000198,,Q9N5Y2,Q5HYJ1
WBGene00000199,ENSG00000115091,WBGene00000199,,Q9N4I0,P61158
WBGene00000199,ENSG00000133627,WBGene00000199,,Q9N4I0,Q9P1U1
WBGene00000200,ENSG00000138071,WBGene00000200,,P53489,P61160
WBGene00000201,ENSG00000130429,WBGene00000201,,Q9U1R7,O15143
WBGene00000201,ENSG00000241685,WBGene00000201,,Q9U1R7,Q92747
WBGene00000203,ENSG00000111229,WBGene00000203,,Q9XWV3,O15145
WBGene00000204,ENSG00000241553,WBGene00000204,,P58798,P59998
WBGene00000205,ENSG00000136950,WBGene00000205,,O61861,Q9BPX5
WBGene00000205,ENSG00000162704,WBGene00000205,,O61861,O15511
WBGene00000208,ENSG00000103671,WBGene00000208,,G5EDK1,Q15650
WBGene00000209,ENSG00000167283,WBGene00000209,,P90921,O75964
WBGene00000210,ENSG00000167283,WBGene00000210,,Q18803,O75964
WBGene00000212,ENSG00000166311,WBGene00000212,,Q23498,P17405
WBGene00000213,ENSG00000166311,WBGene00000213,,G8JY85,P17405
WBGene00000213,ENSG00000166311,WBGene00000213,,Q9UAY4,P17405
WBGene00000217,ENSG00000117984,WBGene00000217,,Q21966,P07339
WBGene00000217,ENSG00000250644,WBGene00000217,,Q21966,H7C469
WBGene00000220,ENSG00000165030,WBGene00000220,,Q21361,Q16649
WBGene00000222,ENSG00000118217,WBGene00000222,,Q20435,P18850
WBGene00000224,ENSG00000138079,WBGene00000224,,Q9XVU3,Q07837
WBGene00000225,ENSG00000138079,WBGene00000225,,O45298,Q07837
WBGene00000226,ENSG00000175054,WBGene00000226,,E5QCG9,Q13535
WBGene00000226,ENSG00000175054,WBGene00000226,,Q22258,Q13535
WBGene00000227,ENSG00000149311,WBGene00000227,,Q9N3Q4,Q13315
WBGene00000228,ENSG00000072110,WBGene00000228,,Q23158,P12814
WBGene00000228,ENSG00000077522,WBGene00000228,,Q23158,P35609
WBGene00000228,ENSG00000130402,WBGene00000228,,Q23158,O43707
WBGene00000228,ENSG00000282844,WBGene00000228,,Q23158,O43707
WBGene00000229,ENSG00000110955,WBGene00000229,,P46561,P06576
WBGene00000230,ENSG00000241837,WBGene00000230,,Q7JNG1,P48047
WBGene00000230,ENSG00000249209,WBGene00000230,,Q7JNG1,H7C0C1
WBGene00000231,ENSG00000168488,WBGene00000231,,D4PH96,Q8WWM7
WBGene00000232,ENSG00000101958,WBGene00000232,,Q95Q97,P23416
WBGene00000232,ENSG00000101958,WBGene00000232,,Q95Q97,P23416
WBGene00000232,ENSG00000109738,WBGene00000232,,Q95Q97,P48167
WBGene00000232,ENSG00000109738,WBGene00000232,,Q95Q97,P48167
WBGene00000232,ENSG00000145451,WBGene00000232,,Q95Q97,O75311
WBGene00000232,ENSG00000145451,WBGene00000232,,Q95Q97,O75311
WBGene00000232,ENSG00000145888,WBGene00000232,,Q95Q97,P23415
WBGene00000232,ENSG00000145888,WBGene00000232,,Q95Q97,P23415
WBGene00000232,ENSG00000188828,WBGene00000232,,Q95Q97,Q5JXX5
WBGene00000232,ENSG00000188828,WBGene00000232,,Q95Q97,Q5JXX5
WBGene00000233,ENSG00000101958,WBGene00000233,,G5ECH3,P23416
WBGene00000233,ENSG00000101958,WBGene00000233,,G5ECH3,P23416
WBGene00000233,ENSG00000109738,WBGene00000233,,G5ECH3,P48167
WBGene00000233,ENSG00000109738,WBGene00000233,,G5ECH3,P48167
WBGene00000233,ENSG00000145451,WBGene00000233,,G5ECH3,O75311
WBGene00000233,ENSG00000145451,WBGene00000233,,G5ECH3,O75311
WBGene00000233,ENSG00000145888,WBGene00000233,,G5ECH3,P23415
WBGene00000233,ENSG00000145888,WBGene00000233,,G5ECH3,P23415
WBGene00000233,ENSG00000188828,WBGene00000233,,G5ECH3,Q5JXX5
WBGene00000233,ENSG00000188828,WBGene00000233,,G5ECH3,Q5JXX5
WBGene00000235,ENSG00000175334,WBGene00000235,,Q03565,O75531
WBGene00000240,ENSG00000171759,WBGene00000240,,I2HA98,P00439
WBGene00000240,ENSG00000171759,WBGene00000240,,P90925,P00439
WBGene00000241,ENSG00000174483,WBGene00000241,,Q9NEZ7,Q8NFJ9
WBGene00000242,ENSG00000125124,WBGene00000242,,Q19640,Q9BXC9
WBGene00000244,ENSG00000165533,WBGene00000244,,Q23049,Q8TAM2
WBGene00000246,ENSG00000122870,WBGene00000246,,Q21593,Q9H694
WBGene00000247,ENSG00000126581,WBGene00000247,,Q22592,Q14457
WBGene00000253,ENSG00000137857,WBGene00000253,,O61213,Q9NRD9
WBGene00000253,ENSG00000140279,WBGene00000253,,O61213,Q9NRD8
WBGene00000254,ENSG00000099139,WBGene00000254,,G8JYA5,Q92824
WBGene00000254,ENSG00000099139,WBGene00000254,,P51559,Q92824
WBGene00000254,ENSG00000115257,WBGene00000254,,G8JYA5,Q6UW60
WBGene00000254,ENSG00000115257,WBGene00000254,,P51559,Q6UW60
WBGene00000254,ENSG00000140479,WBGene00000254,,G8JYA5,P29122
WBGene00000254,ENSG00000140479,WBGene00000254,,P51559,P29122
WBGene00000254,ENSG00000140564,WBGene00000254,,G8JYA5,P09958
WBGene00000254,ENSG00000140564,WBGene00000254,,P51559,P09958
WBGene00000254,ENSG00000175426,WBGene00000254,,G8JYA5,P29120
WBGene00000254,ENSG00000175426,WBGene00000254,,P51559,P29120
WBGene00000257,ENSG00000138160,WBGene00000257,,G5ECF4,P52732
WBGene00000259,ENSG00000159267,WBGene00000259,,Q9BI98,P50747
WBGene00000262,ENSG00000015171,WBGene00000262,,Q20741,Q15326
WBGene00000262,ENSG00000101040,WBGene00000262,,Q20741,Q9ULU4
WBGene00000266,ENSG00000112699,WBGene00000266,,Q18801,O60547
WBGene00000269,ENSG00000086062,WBGene00000269,,Q9GUM2,P15291
WBGene00000269,ENSG00000117411,WBGene00000269,,Q9GUM2,O60909
WBGene00000269,ENSG00000121578,WBGene00000269,,Q9GUM2,O60513
WBGene00000269,ENSG00000158850,WBGene00000269,,Q9GUM2,O60512
WBGene00000270,ENSG00000169255,WBGene00000270,,F5GUA1,O75752
WBGene00000270,ENSG00000169255,WBGene00000270,,Q95US5,O75752
WBGene00000271,ENSG00000185024,WBGene00000271,,Q20429,Q92994
WBGene00000274,ENSG00000095564,WBGene00000274,,G5EF07,O14981
WBGene00000275,ENSG00000169679,WBGene00000275,,Q21776,O43683
WBGene00000276,ENSG00000112578,WBGene00000276,,Q20932,Q13895
WBGene00000279,ENSG00000063180,WBGene00000279,,Q20781,O75493
WBGene00000279,ENSG00000154975,WBGene00000279,,Q20781,Q9NS85
WBGene00000280,ENSG00000063180,WBGene00000280,,Q18932,O75493
WBGene00000280,ENSG00000154975,WBGene00000280,,Q18932,Q9NS85
WBGene00000281,ENSG00000104267,WBGene00000281,,Q27504,P00918
WBGene00000281,ENSG00000133742,WBGene00000281,,Q27504,P00915
WBGene00000281,ENSG00000164879,WBGene00000281,,Q27504,P07451
WBGene00000281,ENSG00000168748,WBGene00000281,,Q27504,P43166
WBGene00000281,ENSG00000169239,WBGene00000281,,Q27504,Q9Y2D0
WBGene00000281,ENSG00000174990,WBGene00000281,,Q27504,P35218
WBGene00000281,ENSG00000178538,WBGene00000281,,Q27504,P35219
WBGene00000281,ENSG00000185015,WBGene00000281,,Q27504,Q8N1Q1
WBGene00000283,ENSG00000104267,WBGene00000283,,Q10462,P00918
WBGene00000283,ENSG00000133742,WBGene00000283,,Q10462,P00915
WBGene00000283,ENSG00000164879,WBGene00000283,,Q10462,P07451
WBGene00000283,ENSG00000168748,WBGene00000283,,Q10462,P43166
WBGene00000283,ENSG00000169239,WBGene00000283,,Q10462,Q9Y2D0
WBGene00000283,ENSG00000174990,WBGene00000283,,Q10462,P35218
WBGene00000283,ENSG00000178538,WBGene00000283,,Q10462,P35219
WBGene00000283,ENSG00000185015,WBGene00000283,,Q10462,Q8N1Q1
WBGene00000289,ENSG00000169071,WBGene00000289,,G5EGK5,Q01974
WBGene00000289,ENSG00000185483,WBGene00000289,,G5EGK5,Q01973
WBGene00000292,ENSG00000116489,WBGene00000292,,P34685,P52907
WBGene00000292,ENSG00000198898,WBGene00000292,,P34685,P47755
WBGene00000293,ENSG00000077549,WBGene00000293,,P34686,P47756
WBGene00000294,ENSG00000112186,WBGene00000294,,Q95YA9,P40123
WBGene00000294,ENSG00000131236,WBGene00000294,,Q95YA9,Q01518
WBGene00000295,ENSG00000036565,WBGene00000295,,Q9GNP0,P54219
WBGene00000295,ENSG00000165646,WBGene00000295,,Q9GNP0,Q05940
WBGene00000298,ENSG00000131979,WBGene00000298,,Q19980,P30793
WBGene00000301,ENSG00000105971,WBGene00000301,,I2HAL2,P51636
WBGene00000301,ENSG00000105971,WBGene00000301,,Q94051,P51636
WBGene00000301,ENSG00000105974,WBGene00000301,,I2HAL2,Q03135
WBGene00000301,ENSG00000105974,WBGene00000301,,Q94051,Q03135
WBGene00000301,ENSG00000182533,WBGene00000301,,I2HAL2,P56539
WBGene00000301,ENSG00000182533,WBGene00000301,,Q94051,P56539
WBGene00000302,ENSG00000105971,WBGene00000302,,Q18879,P51636
WBGene00000302,ENSG00000105974,WBGene00000302,,Q18879,Q03135
WBGene00000302,ENSG00000182533,WBGene00000302,,Q18879,P56539
WBGene00000366,ENSG00000005339,WBGene00000366,,P34545,Q92793
WBGene00000366,ENSG00000100393,WBGene00000366,,P34545,Q09472
WBGene00000367,ENSG00000006283,WBGene00000367,,Q7Z003,O43497
WBGene00000367,ENSG00000100346,WBGene00000367,,Q7Z003,Q9P0X4
WBGene00000367,ENSG00000196557,WBGene00000367,,Q7Z003,O95180
WBGene00000368,ENSG00000067191,WBGene00000368,,O01661,Q02641
WBGene00000368,ENSG00000165995,WBGene00000368,,O01661,Q08289
WBGene00000368,ENSG00000167535,WBGene00000368,,O01661,P54284
WBGene00000368,ENSG00000182389,WBGene00000368,,O01661,O00305
WBGene00000369,ENSG00000155508,WBGene00000369,,Q17345,Q9UFF9
WBGene00000369,ENSG00000198791,WBGene00000369,,Q17345,Q9UIV1
WBGene00000371,ENSG00000135940,WBGene00000371,,P90849,P10606
WBGene00000372,ENSG00000021461,WBGene00000372,,Q27519,Q9HB55
WBGene00000372,ENSG00000059377,WBGene00000372,,Q27519,P24557
WBGene00000372,ENSG00000106258,WBGene00000372,,Q27519,P20815
WBGene00000372,ENSG00000160868,WBGene00000372,,Q27519,P08684
WBGene00000372,ENSG00000160870,WBGene00000372,,Q27519,P24462
WBGene00000375,ENSG00000019186,WBGene00000375,,Q09660,Q07973
WBGene00000375,ENSG00000111012,WBGene00000375,,Q09660,O15528
WBGene00000375,ENSG00000135929,WBGene00000375,,Q09660,Q02318
WBGene00000375,ENSG00000140459,WBGene00000375,,Q09660,P05108
WBGene00000375,ENSG00000160882,WBGene00000375,,Q09660,P15538
WBGene00000375,ENSG00000179142,WBGene00000375,,Q09660,P19099
WBGene00000375,ENSG00000186684,WBGene00000375,,Q09660,Q4G0S4
WBGene00000376,ENSG00000113300,WBGene00000376,,B3GWC3,Q9ULM6
WBGene00000376,ENSG00000138767,WBGene00000376,,B3GWC3,Q96LI5
WBGene00000377,ENSG00000120438,WBGene00000377,,P41988,P17987
WBGene00000378,ENSG00000166226,WBGene00000378,,P47207,P78371
WBGene00000379,ENSG00000115484,WBGene00000379,,P47208,P50991
WBGene00000380,ENSG00000150753,WBGene00000380,,P47209,P48643
WBGene00000381,ENSG00000132141,WBGene00000381,,G8JY43,Q92526
WBGene00000381,ENSG00000132141,WBGene00000381,,P46550,Q92526
WBGene00000381,ENSG00000146731,WBGene00000381,,G8JY43,P40227
WBGene00000381,ENSG00000146731,WBGene00000381,,P46550,P40227
WBGene00000382,ENSG00000094804,WBGene00000382,,P91155,Q99741
WBGene00000383,ENSG00000079335,WBGene00000383,,P81299,Q9UNH5
WBGene00000383,ENSG00000081377,WBGene00000383,,P81299,O60729
WBGene00000386,ENSG00000101224,WBGene00000386,,O44552,P30305
WBGene00000386,ENSG00000158402,WBGene00000386,,O44552,P30307
WBGene00000386,ENSG00000164045,WBGene00000386,,O44552,P30304
WBGene00000387,ENSG00000101224,WBGene00000387,,O44628,P30305
