CE_WB_CURRENT,HS_ENSG,Databases,Score,COMMON_NAME,LOCUS_ID,AHRINGER_LOC,INTERPRO_DOM,SMART,GO,HGNC
WBGene00000003,ENSG00000092068,COMPARA|ORTHOMCL,2,aat-2,F07C3.7,V-6D11,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|basolateral plasma membrane|cellular amino acid metabolic process|cytoplasm|extracellular exosome|integral component of membrane|integral component of plasma membrane|L-alpha-amino acid transmembrane transport|L-amino acid transmembrane transporter activity|L-amino acid transport|leukocyte migration|membrane|metal ion homeostasis|neutral amino acid transmembrane transporter activity|neutral amino acid transport|organic cation transmembrane transporter activity|organic cation transport|peptide antigen binding|plasma membrane|protein binding|response to toxic substance|toxin transport|toxin transporter activity|transport,SLC7A8
WBGene00000003,ENSG00000103064,COMPARA|COMPARA88|ORTHOMCL,3,aat-2,F07C3.7,V-6D11,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|basolateral plasma membrane|cellular amino acid metabolic process|integral component of membrane|integral component of plasma membrane|intracellular membrane-bounded organelle|L-alpha-amino acid transmembrane transport|L-amino acid transmembrane transporter activity|leukocyte migration|membrane|plasma membrane|protein complex assembly|transport,SLC7A6
WBGene00000003,ENSG00000103257,COMPARA|ORTHOMCL,2,aat-2,F07C3.7,V-6D11,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|apical plasma membrane|cell differentiation|cellular amino acid metabolic process|cytoplasm|cytosol|extracellular exosome|integral component of membrane|integral component of plasma membrane|intracellular membrane-bounded organelle|L-alpha-amino acid transmembrane transport|L-amino acid transmembrane transporter activity|L-amino acid transport|leukocyte migration|membrane|multicellular organism development|nervous system development|neutral amino acid transmembrane transporter activity|neutral amino acid transport|peptide antigen binding|plasma membrane|transport,SLC7A5
WBGene00000003,ENSG00000130876,COMPARA|ORTHOMCL,2,aat-2,F07C3.7,V-6D11,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|D-alanine transport|D-serine transport|integral component of membrane|integral component of plasma membrane|L-serine transmembrane transporter activity|L-serine transport|leukocyte migration|membrane|neutral amino acid transmembrane transporter activity|neutral amino acid transport|plasma membrane|transport,SLC7A10
WBGene00000003,ENSG00000155465,COMPARA|COMPARA88|HOMOLOGENE|OMA|ORTHOMCL,5,aat-2,F07C3.7,V-6D11,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|basic amino acid transmembrane transport|basic amino acid transmembrane transporter activity|basolateral plasma membrane|cellular amino acid metabolic process|integral component of membrane|integral component of plasma membrane|L-alpha-amino acid transmembrane transport|L-amino acid transmembrane transporter activity|leukocyte migration|membrane|plasma membrane|protein complex assembly|regulation of arginine metabolic process|transport,SLC7A7
WBGene00000004,ENSG00000021488,ORTHOMCL,1,aat-3,F52H2.2,X-1L22,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|apical plasma membrane|brush border membrane|integral component of membrane|integral component of plasma membrane|L-cystine transmembrane transporter activity|L-cystine transport|leukocyte migration|membrane|neutral amino acid transmembrane transporter activity|neutral amino acid transport|peptide antigen binding|plasma membrane|protein binding|protein complex assembly|transport,SLC7A9
WBGene00000004,ENSG00000021488,ORTHOMCL,1,aat-3,F52H2.2,X-1L22,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|apical plasma membrane|brush border membrane|integral component of membrane|integral component of plasma membrane|L-cystine transmembrane transporter activity|L-cystine transport|leukocyte migration|membrane|neutral amino acid transmembrane transporter activity|neutral amino acid transport|peptide antigen binding|plasma membrane|protein binding|protein complex assembly|transport,SLC7A9
WBGene00000004,ENSG00000092068,COMPARA|INPARANOID|ORTHOINSPECTOR|ORTHOMCL,4,aat-3,F52H2.2,X-1L22,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|basolateral plasma membrane|cellular amino acid metabolic process|cytoplasm|extracellular exosome|integral component of membrane|integral component of plasma membrane|L-alpha-amino acid transmembrane transport|L-amino acid transmembrane transporter activity|L-amino acid transport|leukocyte migration|membrane|metal ion homeostasis|neutral amino acid transmembrane transporter activity|neutral amino acid transport|organic cation transmembrane transporter activity|organic cation transport|peptide antigen binding|plasma membrane|protein binding|response to toxic substance|toxin transport|toxin transporter activity|transport,SLC7A8
WBGene00000004,ENSG00000092068,COMPARA|INPARANOID|ORTHOINSPECTOR|ORTHOMCL,4,aat-3,F52H2.2,X-1L22,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|basolateral plasma membrane|cellular amino acid metabolic process|cytoplasm|extracellular exosome|integral component of membrane|integral component of plasma membrane|L-alpha-amino acid transmembrane transport|L-amino acid transmembrane transporter activity|L-amino acid transport|leukocyte migration|membrane|metal ion homeostasis|neutral amino acid transmembrane transporter activity|neutral amino acid transport|organic cation transmembrane transporter activity|organic cation transport|peptide antigen binding|plasma membrane|protein binding|response to toxic substance|toxin transport|toxin transporter activity|transport,SLC7A8
WBGene00000004,ENSG00000103064,COMPARA|COMPARA89|HOMOLOGENE|ORTHOINSPECTOR|ORTHOMCL,5,aat-3,F52H2.2,X-1L22,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|basolateral plasma membrane|cellular amino acid metabolic process|integral component of membrane|integral component of plasma membrane|intracellular membrane-bounded organelle|L-alpha-amino acid transmembrane transport|L-amino acid transmembrane transporter activity|leukocyte migration|membrane|plasma membrane|protein complex assembly|transport,SLC7A6
WBGene00000004,ENSG00000103064,COMPARA|COMPARA89|HOMOLOGENE|ORTHOINSPECTOR|ORTHOMCL,5,aat-3,F52H2.2,X-1L22,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|basolateral plasma membrane|cellular amino acid metabolic process|integral component of membrane|integral component of plasma membrane|intracellular membrane-bounded organelle|L-alpha-amino acid transmembrane transport|L-amino acid transmembrane transporter activity|leukocyte migration|membrane|plasma membrane|protein complex assembly|transport,SLC7A6
WBGene00000004,ENSG00000103257,COMPARA|INPARANOID|ORTHOINSPECTOR|ORTHOMCL,4,aat-3,F52H2.2,X-1L22,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|apical plasma membrane|cell differentiation|cellular amino acid metabolic process|cytoplasm|cytosol|extracellular exosome|integral component of membrane|integral component of plasma membrane|intracellular membrane-bounded organelle|L-alpha-amino acid transmembrane transport|L-amino acid transmembrane transporter activity|L-amino acid transport|leukocyte migration|membrane|multicellular organism development|nervous system development|neutral amino acid transmembrane transporter activity|neutral amino acid transport|peptide antigen binding|plasma membrane|transport,SLC7A5
WBGene00000004,ENSG00000103257,COMPARA|INPARANOID|ORTHOINSPECTOR|ORTHOMCL,4,aat-3,F52H2.2,X-1L22,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|apical plasma membrane|cell differentiation|cellular amino acid metabolic process|cytoplasm|cytosol|extracellular exosome|integral component of membrane|integral component of plasma membrane|intracellular membrane-bounded organelle|L-alpha-amino acid transmembrane transport|L-amino acid transmembrane transporter activity|L-amino acid transport|leukocyte migration|membrane|multicellular organism development|nervous system development|neutral amino acid transmembrane transporter activity|neutral amino acid transport|peptide antigen binding|plasma membrane|transport,SLC7A5
WBGene00000004,ENSG00000130876,COMPARA|ORTHOMCL,2,aat-3,F52H2.2,X-1L22,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|D-alanine transport|D-serine transport|integral component of membrane|integral component of plasma membrane|L-serine transmembrane transporter activity|L-serine transport|leukocyte migration|membrane|neutral amino acid transmembrane transporter activity|neutral amino acid transport|plasma membrane|transport,SLC7A10
WBGene00000004,ENSG00000130876,COMPARA|ORTHOMCL,2,aat-3,F52H2.2,X-1L22,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|D-alanine transport|D-serine transport|integral component of membrane|integral component of plasma membrane|L-serine transmembrane transporter activity|L-serine transport|leukocyte migration|membrane|neutral amino acid transmembrane transporter activity|neutral amino acid transport|plasma membrane|transport,SLC7A10
WBGene00000004,ENSG00000155465,COMPARA|COMPARA89|ORTHOINSPECTOR|ORTHOMCL,4,aat-3,F52H2.2,X-1L22,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|basic amino acid transmembrane transport|basic amino acid transmembrane transporter activity|basolateral plasma membrane|cellular amino acid metabolic process|integral component of membrane|integral component of plasma membrane|L-alpha-amino acid transmembrane transport|L-amino acid transmembrane transporter activity|leukocyte migration|membrane|plasma membrane|protein complex assembly|regulation of arginine metabolic process|transport,SLC7A7
WBGene00000004,ENSG00000155465,COMPARA|COMPARA89|ORTHOINSPECTOR|ORTHOMCL,4,aat-3,F52H2.2,X-1L22,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|basic amino acid transmembrane transport|basic amino acid transmembrane transporter activity|basolateral plasma membrane|cellular amino acid metabolic process|integral component of membrane|integral component of plasma membrane|L-alpha-amino acid transmembrane transport|L-amino acid transmembrane transporter activity|leukocyte migration|membrane|plasma membrane|protein complex assembly|regulation of arginine metabolic process|transport,SLC7A7
WBGene00000018,ENSG00000097007,COMPARA|COMPARA88|COMPARA89|INPARANOID|ORTHOINSPECTOR|ORTHOMCL,6,abl-1,M79.1,X-5K23,"INTERPRO:IPR000980 ""SH2 domain""|INTERPRO:IPR001245 ""Serine-threonine/tyrosine-protein kinase catalytic domain""|INTERPRO:IPR001452 ""SH3 domain""|INTERPRO:IPR011009 ""Protein kinase-like domain""|INTERPRO:IPR015015 ""F-actin binding""|INTERPRO:IPR020635 ""Tyrosine-protein kinase, catalytic domain""",SM00219|SM00252|SM00326|SM00808,"actin cytoskeleton|actin cytoskeleton organization|actin filament binding|actin filament branching|actin monomer binding|activated T cell proliferation|activation of protein kinase C activity|alpha-beta T cell differentiation|apoptotic process|ATP binding|autophagy|B cell proliferation|B cell proliferation involved in immune response|B cell receptor signaling pathway|B-1 B cell homeostasis|Bergmann glial cell differentiation|cardiovascular system development|cell adhesion|cell cycle arrest|cell leading edge|cellular protein modification process|cellular response to DNA damage stimulus|cellular response to dopamine|cellular response to hydrogen peroxide|cellular response to lipopolysaccharide|cellular response to oxidative stress|cerebellum morphogenesis|collateral sprouting|cytoplasm|cytoskeleton|cytosol|dendrite|DNA binding|DNA damage induced protein phosphorylation|DNA repair|endocytosis|ephrin receptor binding|epidermal growth factor receptor signaling pathway|establishment of protein localization|extrinsic component of cytoplasmic side of plasma membrane|Fc-gamma receptor signaling pathway involved in phagocytosis|innate immune response|intrinsic apoptotic signaling pathway in response to DNA damage|kinase activity|magnesium ion binding|manganese ion binding|membrane|metal ion binding|microspike assembly|mismatch repair|mitochondrial depolarization|mitochondrion|mitogen-activated protein kinase binding|mitotic cell cycle|negative regulation of BMP signaling pathway|negative regulation of cell-cell adhesion|negative regulation of cellular senescence|negative regulation of endothelial cell apoptotic process|negative regulation of ERK1 and ERK2 cascade|negative regulation of I-kappaB kinase/NF-kappaB signaling|negative regulation of mitotic cell cycle|negative regulation of phospholipase C activity|negative regulation of protein serine/threonine kinase activity|negative regulation of ubiquitin-protein transferase activity|neural tube closure|neuroepithelial cell differentiation|neuromuscular process controlling balance|neuron differentiation|neuronal cell body|nicotinate-nucleotide adenylyltransferase activity|non-membrane spanning protein tyrosine kinase activity|nuclear body|nuclear membrane|nucleolus|nucleoplasm|nucleotide binding|nucleus|peptidyl-tyrosine autophosphorylation|peptidyl-tyrosine phosphorylation|perinuclear region of cytoplasm|phagocytosis|phosphorylation|phosphotyrosine binding|platelet-derived growth factor receptor signaling pathway|platelet-derived growth factor receptor-beta signaling pathway|positive regulation of actin filament binding|positive regulation of apoptotic process|positive regulation of cytosolic calcium ion concentration|positive regulation of ERK1 and ERK2 cascade|positive regulation of I-kappaB kinase/NF-kappaB signaling|positive regulation of interferon-gamma secretion|positive regulation of interleukin-2 secretion|positive regulation of microtubule binding|positive regulation of mitotic cell cycle|positive regulation of muscle cell differentiation|positive regulation of neuron death|positive regulation of osteoblast proliferation|positive regulation of oxidoreductase activity|positive regulation of peptidyl-tyrosine phosphorylation|positive regulation of protein phosphorylation|positive regulation of release of sequestered calcium ion into cytosol|positive regulation of Wnt signaling pathway, planar cell polarity pathway|post-embryonic development|postsynapse|proline-rich region binding|protein autophosphorylation|protein binding|protein C-terminus binding|protein complex|protein domain specific binding|protein kinase activity|protein kinase C binding|protein phosphorylation|protein tyrosine kinase activity|receptor binding|regulation of actin cytoskeleton organization|regulation of actin cytoskeleton reorganization|regulation of autophagy|regulation of axon extension|regulation of cell adhesion|regulation of cell cycle|regulation of cell motility|regulation of cell proliferation|regulation of cellular senescence|regulation of endocytosis|regulation of extracellular matrix organization|regulation of microtubule polymerization|regulation of response to DNA damage stimulus|regulation of transcription, DNA-templated|response to oxidative stress|SH2 domain binding|SH3 domain binding|signal transduction in response to DNA damage|spleen development|substrate adhesion-dependent cell spreading|syntaxin binding|thymus development|transferase activity|transitional one stage B cell differentiation",ABL1
WBGene00000018,ENSG00000097007,COMPARA|COMPARA88|COMPARA89|INPARANOID|ORTHOINSPECTOR|ORTHOMCL,6,abl-1,M79.1,X-5K23,"INTERPRO:IPR000980 ""SH2 domain""|INTERPRO:IPR001245 ""Serine-threonine/tyrosine-protein kinase catalytic domain""|INTERPRO:IPR001452 ""SH3 domain""|INTERPRO:IPR011009 ""Protein kinase-like domain""|INTERPRO:IPR015015 ""F-actin binding""|INTERPRO:IPR020635 ""Tyrosine-protein kinase, catalytic domain""",SM00219|SM00252|SM00326|SM00808,"actin cytoskeleton|actin cytoskeleton organization|actin filament binding|actin filament branching|actin monomer binding|activated T cell proliferation|activation of protein kinase C activity|alpha-beta T cell differentiation|apoptotic process|ATP binding|autophagy|B cell proliferation|B cell proliferation involved in immune response|B cell receptor signaling pathway|B-1 B cell homeostasis|Bergmann glial cell differentiation|cardiovascular system development|cell adhesion|cell cycle arrest|cell leading edge|cellular protein modification process|cellular response to DNA damage stimulus|cellular response to dopamine|cellular response to hydrogen peroxide|cellular response to lipopolysaccharide|cellular response to oxidative stress|cerebellum morphogenesis|collateral sprouting|cytoplasm|cytoskeleton|cytosol|dendrite|DNA binding|DNA damage induced protein phosphorylation|DNA repair|endocytosis|ephrin receptor binding|epidermal growth factor receptor signaling pathway|establishment of protein localization|extrinsic component of cytoplasmic side of plasma membrane|Fc-gamma receptor signaling pathway involved in phagocytosis|innate immune response|intrinsic apoptotic signaling pathway in response to DNA damage|kinase activity|magnesium ion binding|manganese ion binding|membrane|metal ion binding|microspike assembly|mismatch repair|mitochondrial depolarization|mitochondrion|mitogen-activated protein kinase binding|mitotic cell cycle|negative regulation of BMP signaling pathway|negative regulation of cell-cell adhesion|negative regulation of cellular senescence|negative regulation of endothelial cell apoptotic process|negative regulation of ERK1 and ERK2 cascade|negative regulation of I-kappaB kinase/NF-kappaB signaling|negative regulation of mitotic cell cycle|negative regulation of phospholipase C activity|negative regulation of protein serine/threonine kinase activity|negative regulation of ubiquitin-protein transferase activity|neural tube closure|neuroepithelial cell differentiation|neuromuscular process controlling balance|neuron differentiation|neuronal cell body|nicotinate-nucleotide adenylyltransferase activity|non-membrane spanning protein tyrosine kinase activity|nuclear body|nuclear membrane|nucleolus|nucleoplasm|nucleotide binding|nucleus|peptidyl-tyrosine autophosphorylation|peptidyl-tyrosine phosphorylation|perinuclear region of cytoplasm|phagocytosis|phosphorylation|phosphotyrosine binding|platelet-derived growth factor receptor signaling pathway|platelet-derived growth factor receptor-beta signaling pathway|positive regulation of actin filament binding|positive regulation of apoptotic process|positive regulation of cytosolic calcium ion concentration|positive regulation of ERK1 and ERK2 cascade|positive regulation of I-kappaB kinase/NF-kappaB signaling|positive regulation of interferon-gamma secretion|positive regulation of interleukin-2 secretion|positive regulation of microtubule binding|positive regulation of mitotic cell cycle|positive regulation of muscle cell differentiation|positive regulation of neuron death|positive regulation of osteoblast proliferation|positive regulation of oxidoreductase activity|positive regulation of peptidyl-tyrosine phosphorylation|positive regulation of protein phosphorylation|positive regulation of release of sequestered calcium ion into cytosol|positive regulation of Wnt signaling pathway, planar cell polarity pathway|post-embryonic development|postsynapse|proline-rich region binding|protein autophosphorylation|protein binding|protein C-terminus binding|protein complex|protein domain specific binding|protein kinase activity|protein kinase C binding|protein phosphorylation|protein tyrosine kinase activity|receptor binding|regulation of actin cytoskeleton organization|regulation of actin cytoskeleton reorganization|regulation of autophagy|regulation of axon extension|regulation of cell adhesion|regulation of cell cycle|regulation of cell motility|regulation of cell proliferation|regulation of cellular senescence|regulation of endocytosis|regulation of extracellular matrix organization|regulation of microtubule polymerization|regulation of response to DNA damage stimulus|regulation of transcription, DNA-templated|response to oxidative stress|SH2 domain binding|SH3 domain binding|signal transduction in response to DNA damage|spleen development|substrate adhesion-dependent cell spreading|syntaxin binding|thymus development|transferase activity|transitional one stage B cell differentiation",ABL1
