HS_ENSG,Gene/Locus MIM number,Phenotype and Phenotype MIM number
ENSG00000162129,616254,"3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia, 616271"
ENSG00000115317,606441,"3-methylglutaconic aciduria, type VIII, 617248 | Parkinson disease 13, 610297"
ENSG00000127241,600521,"3MC syndrome 1, 257920"
ENSG00000118004,612502,"3MC syndrome 2, 265050"
ENSG00000184374,607620,"3MC syndrome 3, 248340"
ENSG00000136931,184757,"46, XX sex reversal 4, 617480 | 46XY sex reversal 3, 612965 | Adrenocortical insufficiency, 612964 | Premature ovarian failure 7, 612964 | Spermatogenic failure 8, 613957"
ENSG00000184895,480000,"46XX sex reversal 1, 400045 | 46XY sex reversal 1, 400044"
ENSG00000139549,605423,"46XY partial gonadal dysgenesis, with minifascicular neuropathy, 607080 | 46XY sex reversal 7, 233420"
ENSG00000169297,300473,"46XY sex reversal 2, dosage-sensitive, 300018 | Adrenal hypoplasia, congenital, 300200"
ENSG00000173894,602770,"46XY sex reversal 5, 613080"
ENSG00000095015,600982,"46XY sex reversal 6, 613762"
ENSG00000151632,600450,"46XY sex reversal 8, 614279 | Obesity, hyperphagia, and developmental delay"
ENSG00000198610,600451,"46XY sex reversal 8, modifier of, 614279"
ENSG00000169946,603693,"46XY sex reversal 9, 616067 | Diaphragmatic hernia 3, 610187 | Tetralogy of Fallot, 187500"
ENSG00000188641,612779,"5-fluorouracil toxicity, 274270 | Dihydropyrimidine dehydrogenase deficiency, 274270"
ENSG00000178814,614243,"5-oxoprolinase deficiency, 260005"
ENSG00000102302,300546,"Aarskog-Scott syndrome, 305400 | Mental retardation, X-linked syndromic 16, 305400"
ENSG00000234745,142830,"Abacavir hypersensitivity, susceptibility to | Drug-induced liver injury due to flucloxacillin | Spondyloarthropathy, susceptibility to, 1, 106300 | Stevens-Johnson syndrome, susceptibility to, 608579 | Synovitis, chronic, susceptibility to | Toxic epidermal necrolysis, susceptibility to, 608579"
ENSG00000136160,131244,"ABCD syndrome, 600501 | Waardenburg syndrome, type 4A, 277580 | Hirschsprung disease, susceptibility to, 2, 600155"
ENSG00000105204,604556,"Abdominal obesity-metabolic syndrome 3, 615812"
ENSG00000138823,157147,"Abetalipoproteinemia, 200100 | Metabolic syndrome, protection against, 605552"
ENSG00000233608,607556,"Ablepharon-macrostomia syndrome, 200110 | Barber-Say syndrome, 209885 | Focal facial dermal dysplasia 3, Setleis type, 227260"
ENSG00000122145,300307,"Abruzzo-Erickson syndrome, 302905 | Cleft palate with ankyloglossia, 303400"
ENSG00000125398,608160,"Acampomelic campomelic dysplasia, 114290 | Campomelic dysplasia with autosomal sex reversal, 114290 | Campomelic dysplasia, 114290"
ENSG00000120437,100678,"ACAT2 deficiency, 614055"
ENSG00000121691,115500,"Acatalasemia, 614097"
ENSG00000135679,164785,"Accelerated tumor formation, susceptibility to, 614401"
ENSG00000278540,200350,"Acetyl-CoA carboxylase deficiency, 613933"
ENSG00000156006,612182,"Acetylation, slow, 243400"
ENSG00000094914,605378,"Achalasia-addisonianism-alacrimia syndrome, 231550"
ENSG00000105983,605522,"Acheiropody, 200500 | Hypoplastic or aplastic tibia with polydactyly, 188740 | Laurin-Sandrow syndrome, 135750 | Polydactyly, preaxial type II, 174500 | Syndactyly, type IV, 186200 | Triphalangeal thumb, type I, 174500 | Triphalangeal thumb-polysyndactyly syndrome, 174500"
ENSG00000155850,606718,"Achondrogenesis Ib, 600972 | Atelosteogenesis II, 256050 | De la Chapelle dysplasia, 256050 | Diastrophic dysplasia, 222600 | Diastrophic dysplasia, broad bone-platyspondylic variant, 222600 | Epiphyseal dysplasia, multiple, 4, 226900"
ENSG00000100815,604505,"Achondrogenesis, type IA, 200600"
ENSG00000139219,120140,"Achondrogenesis, type II or hypochondrogenesis, 200610 | Avascular necrosis of the femoral head, 608805 | Czech dysplasia, 609162 | Epiphyseal dysplasia, multiple, with myopia and deafness, 132450 | Kniest dysplasia, 156550 | Legg-Calve-Perthes disease, 150600 | Osteoarthritis with mild chondrodysplasia, 604864 | Platyspondylic skeletal dysplasia, Torrance type, 151210 | SED congenita, 183900 | SMED Strudwick type, 184250 | Spondyloepiphyseal dysplasia, Stanescu type, 616583 | Spondyloperipheral"
ENSG00000068078,134934,"Achondroplasia, 100800 | Bladder cancer, somatic, 109800 | CATSHL syndrome, 610474 | Cervical cancer, somatic, 603956 | Colorectal cancer, somatic, 114500 | Crouzon syndrome with acanthosis nigricans, 612247 | Hypochondroplasia, 146000 | LADD syndrome, 149730 | Muenke syndrome, 602849 | Nevus, epidermal, somatic, 162900 | SADDAN, 616482 | Spermatocytic seminoma, somatic, 273300 | Thanatophoric dysplasia, type I, 187600 | Thanatophoric dysplasia, type II, 187601"
ENSG00000144191,600053,"Achromatopsia 2, 216900"
ENSG00000170289,605080,"Achromatopsia 3, 262300 | Macular degeneration, juvenile, 248200"
ENSG00000134183,139340,"Achromatopsia 4, 613856"
ENSG00000139053,601190,"Achromatopsia 6, 610024 | Retinal cone dystrophy 3, 610024"
ENSG00000118217,605537,"Achromatopsia 7, 616517"
ENSG00000099769,601489,"Acid-labile subunit, deficiency of, 615961"
ENSG00000162736,605254,"Acne inversa, familial, 1, 142690"
ENSG00000205155,607632,"Acne inversa, familial, 2, with or without Dowling-Degos disease, 613736"
ENSG00000080815,104311,"Acne inversa, familial, 3, 613737 | Alzheimer disease, type 3, 607822 | Alzheimer disease, type 3, with spastic paraparesis and apraxia, 607822 | Alzheimer disease, type 3, with spastic paraparesis and unusual plaques, 607822 | Cardiomyopathy, dilated, 1U, 613694 | Dementia, frontotemporal, 600274 | Pick disease, 172700"
ENSG00000163501,600726,"Acrocapitofemoral dysplasia, 607778 | Brachydactyly, type A1, 112500"
ENSG00000147804,607059,"Acrodermatitis enteropathica, 201100"
ENSG00000108946,188830,"Acrodysostosis 1, with or without hormone resistance, 101800 | Adrenocortical tumor, somatic, | Carney complex, type 1, 160980 | Myxoma, intracardiac, 255960 | Pigmented nodular adrenocortical disease, primary, 1, 610489"
ENSG00000113448,600129,"Acrodysostosis 2, with or without hormone resistance, 614613 | Stroke, susceptibility to, 1, 606799"
ENSG00000143368,605593,"Acrofacial dysostosis 1, Nager type, 154400"
ENSG00000068654,616404,"Acrofacial dysostosis, Cincinnati type, 616462"
ENSG00000174437,108740,"Acrokeratosis verruciformis, 101900 | Darier disease, 124200"
ENSG00000130449,615951,"Acromelic frontonasal dysostosis, 603671"
ENSG00000138696,603248,"Acromesomelic dysplasia, Demirhan type, 609441 | Brachydactyly, type A1, D, 616849 | Brachydactyly, type A2, 112600"
ENSG00000125965,601146,"Acromesomelic dysplasia, Hunter-Thompson type, 201250 | Brachydactyly, type A1, C, 615072 | Brachydactyly, type A2, 112600 | Brachydactyly, type C, 113100 | Chondrodysplasia, Grebe type, 200700 | Du Pan syndrome, 228900 | Multiple synostoses syndrome 2, 610017 | Symphalangism, proximal, 1B, 615298 | Osteoarthritis-5, 612400"
ENSG00000159899,108961,"Acromesomelic dysplasia, Maroteaux type, 602875 | Epiphyseal chondrodysplasia, Miura type, 615923 | Short stature with nonspecific skeletal abnormalities, 616255"
ENSG00000166147,134797,"Acromicric dysplasia, 102370 | Ectopia lentis, familial, 129600 | Geleophysic dysplasia 2, 614185 | MASS syndrome, 604308 | Marfan lipodystrophy syndrome, 616914 | Marfan syndrome, 154700 | Stiff skin syndrome, 184900 | Weill-Marchesani syndrome 2, dominant, 608328"
ENSG00000140691,615549,"ACTH-independent macronodular adrenal hyperplasia 2, 615954"
ENSG00000087460,139320,"ACTH-independent macronodular adrenal hyperplasia, 219080 | McCune-Albright syndrome, somatic, mosaic 174800 | Osseous heteroplasia, progressive, 166350 | Pituitary adenoma 3, multiple types, somatic, 617686 | Pseudohypoparathyroidism Ia, 103580 | Pseudohypoparathyroidism Ib, 603233 | Pseudohypoparathyroidism Ic, 612462 | Pseudopseudohypoparathyroidism, 612463"
ENSG00000117054,607008,"Acyl-CoA dehydrogenase, medium chain, deficiency of, 201450"
ENSG00000122971,606885,"Acyl-CoA dehydrogenase, short-chain, deficiency of, 201470"
ENSG00000031081,610911,"Adams-Oliver syndrome 1, 100300"
ENSG00000130158,614194,"Adams-Oliver syndrome 2, 614219"
ENSG00000168214,147183,"Adams-Oliver syndrome 3, 614814"
ENSG00000163378,614789,"Adams-Oliver syndrome 4, 615297"
ENSG00000148400,190198,"Adams-Oliver syndrome 5, 616028 | Aortic valve disease 1, 109730"
ENSG00000128917,605185,"Adams-Oliver syndrome 6, 616589"
ENSG00000198931,102600,"Adenine phosphoribosyltransferase deficiency, 614723"
ENSG00000185345,602544,"Adenocarcinoma of lung, somatic, 211980 | Adenocarcinoma, ovarian, somatic, 167000 | Parkinson disease, juvenile, type 2, 600116 | Leprosy, susceptibility to, 607572"
ENSG00000157764,164757,"Adenocarcinoma of lung, somatic, 211980 | Cardiofaciocutaneous syndrome, 115150 | Colorectal cancer, somatic | LEOPARD syndrome 3, 613707 | Melanoma, malignant, somatic | Nonsmall cell lung cancer, somatic | Noonan syndrome 7, 613706"
ENSG00000141736,164870,"Adenocarcinoma of lung, somatic, 211980 | Gastric cancer, somatic, 613659 | Glioblastoma, somatic, 137800 | Ovarian cancer, somatic,"
ENSG00000085999,603615,"Adenocarcinoma, colonic, somatic | Lymphoma, non-Hodgkin, somatic, 605027 | Breast cancer, invasive ductal, 114480"
ENSG00000134982,611731,"Adenoma, periampullary, somatic | Adenomatous polyposis coli, 175100 | Brain tumor-polyposis syndrome 2, 175100 | Colorectal cancer, somatic, 114500 | Desmoid disease, hereditary, 135290 | Gardner syndrome, 175100 | Gastric cancer, somatic, 613659 | Hepatoblastoma, somatic, 114550"
ENSG00000132781,604933,"Adenomas, multiple colorectal, 608456 | Colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas, 132600 | Gastric cancer, somatic, 613659"
ENSG00000181690,603026,"Adenomas, salivary gland pleomorphic, somatic, 181030"
ENSG00000196839,608958,"Adenosine deaminase deficiency, partial, 102700 | Severe combined immunodeficiency due to ADA deficiency, 102700"
ENSG00000143627,609712,"Adenosine triphosphate, elevated, of erythrocytes, 102900 | Pyruvate kinase deficiency, 266200"
ENSG00000239900,608222,"Adenylosuccinase deficiency, 103050"
ENSG00000163104,612761,"Adermatoglyphia, 136000 | Basan syndrome, 129200"
ENSG00000181092,605441,"Adiponectin deficiency, 612556"
ENSG00000133895,613733,"Adrenal adenoma, somatic | Angiofibroma, somatic | Carcinoid tumor of lung | Lipoma, somatic | Multiple endocrine neoplasia 1, 131100 | Parathyroid adenoma, somatic"
ENSG00000141510,191170,"Adrenal cortical carcinoma, 202300 | Breast cancer, 114480 | Choroid plexus papilloma, 260500 | Colorectal cancer, 114500 | Hepatocellular carcinoma, 114550 | Li-Fraumeni syndrome, 151623 | Nasopharyngeal carcinoma, 607107 | Osteosarcoma, 259500 | Pancreatic cancer, 260350 | Basal cell carcinoma 7, 614740 | Glioma susceptibility 1, 137800"
ENSG00000160882,610613,"Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency, 202010 | Aldosteronism, glucocorticoid-remediable, 103900"
ENSG00000231852,613815,"Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency, 201910 | Hyperandrogenism, nonclassic type, due to 21-hydroxylase deficiency, 201910"
ENSG00000203859,613890,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency, 201810"
ENSG00000140459,118485,"Adrenal insufficiency, congenital, with 46XY sex reversal, partial or complete, 613743"
ENSG00000143178,604614,"Adrenocorticotropic hormone deficiency, 201400"
ENSG00000101986,300371,"Adrenoleukodystrophy, 300100 | Adrenomyeloneuropathy, adult, 300100"
ENSG00000111846,600429,"Adult i phenotype without cataract, 110800 | Cataract 13 with adult i phenotype, 116700 | Blood group, Ii, 110800"
ENSG00000073282,603273,"ADULT syndrome, 103285 | Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3, 604292 | Hay-Wells syndrome, 106260 | Limb-mammary syndrome, 603543 | Orofacial cleft 8, 129400 | Rapp-Hodgkin syndrome, 129400 | Split-hand/foot malformation 4, 605289"
ENSG00000132326,603426,"Advanced sleep phase syndrome, familial, 1, 604348"
ENSG00000049246,603427,"Advanced sleep phase syndrome, familial, 3, 616882"
ENSG00000141551,600864,"Advanced sleep-phase syndrome, familial, 2, 615224"
ENSG00000196616,103720,"Aerodigestive tract cancer, squamous cell, alcohol-related, protection against | Alcohol dependence, protection against, 103780"
ENSG00000171560,134820,"Afibrinogenemia, congenital, 202400 | Amyloidosis, familial visceral, 105200 | Dysfibrinogenemia, congenital, 616004 | Hypodysfibrinogenemia, congenital, 616004"
ENSG00000171557,134850,"Afibrinogenemia, congenital, 202400 | Dysfibrinogenemia, congenital, 616004 | Hypodysfibrinogenemia, 616004 | Hypofibrinogenemia, congenital, 202400"
ENSG00000171564,134830,"Afibrinogenemia, congenital, 202400 | Dysfibrinogenemia, congenital, 616004 | Hypofibrinogenemia, congenital, 202400"
ENSG00000128322,146770,"Agammaglobulinemia 2, 613500"
ENSG00000105369,112205,"Agammaglobulinemia 3, 613501"
ENSG00000095585,604515,"Agammaglobulinemia 4, 613502"
ENSG00000136802,608360,"Agammaglobulinemia 5, 613506"
ENSG00000007312,147245,"Agammaglobulinemia 6, 612692"
ENSG00000145675,171833,"Agammaglobulinemia 7, autosomal recessive, 615214 | Immunodeficiency 36, 616005 | SHORT syndrome, 269880"
ENSG00000071564,147141,"Agammaglobulinemia 8, autosomal dominant, 616941"
ENSG00000010671,300300,"Agammaglobulinemia and isolated hormone deficiency, 307200 | Agammaglobulinemia, X-linked 1, 300755"
ENSG00000140199,604878,"Agenesis of the corpus callosum with peripheral neuropathy, 218000"
ENSG00000116132,167420,"Agnathia-otocephaly complex, 202650"
ENSG00000138363,601731,"AICA-ribosiduria due to ATIC deficiency, 608688"
ENSG00000213689,606609,"Aicardi-Goutieres syndrome 1, dominant and recessive, 225750 | Chilblain lupus, 610448 | Vasculopathy, retinal, with cerebral leukodystrophy, 192315 | Systemic lupus erythematosus, susceptibility to, 152700"
ENSG00000136104,610326,"Aicardi-Goutieres syndrome 2, 610181"
ENSG00000172922,610330,"Aicardi-Goutieres syndrome 3, 610329"
ENSG00000104889,606034,"Aicardi-Goutieres syndrome 4, 610333"
ENSG00000160710,146920,"Aicardi-Goutieres syndrome 6, 615010 | Dyschromatosis symmetrica hereditaria, 127400"
ENSG00000115267,606951,"Aicardi-Goutieres syndrome 7, 615846 | Singleton-Merten syndrome 1, 182250"
ENSG00000167633,604946,"AIDS, delayed/rapid progression to, 609423"
ENSG00000111537,147570,"AIDS, rapid progression to, 609423 | Aplastic anemia, 609135 | Hepatitis C virus, response to therapy of, 609532 | TSC2 angiomyolipomas, renal, modifier of, 613254 | Tuberculosis, protection against, 607948"
ENSG00000107562,600835,"AIDS, resistance to, 609423"
ENSG00000163464,146929,"AIDS, slow progression to, 609423"
ENSG00000077238,147781,"AIDS, slow progression to, 609423 | Atopy, susceptibility to, 147050"
ENSG00000185324,603464,"Al Kaissi syndrome, 617694"
ENSG00000166813,611254,"Al-Gazali-Bakalinova syndrome, 607131 | Hydrolethalus syndrome 2, 614120 | Acrocallosal syndrome, 200990 | Joubert syndrome 12, 200990"
ENSG00000110063,610534,"Al-Raqad syndrome, 616459"
ENSG00000144591,615495,"Alacrima, achalasia, and mental retardation syndrome, 615510"
ENSG00000134250,600275,"Alagille syndrome 2, 610205 | Hajdu-Cheney syndrome, 102500"
ENSG00000102001,300110,"Aland Island eye disease, 300600 | Cone-rod dystrophy, X-linked, 3, 300476 | Night blindness, congenital stationary (incomplete), 2A, X-linked, 300071"
ENSG00000174720,612026,"Alazami syndrome, 615071"
ENSG00000106290,602955,"Alazami-Yuan syndrome, 617126"
ENSG00000104044,611409,"Albinism, brown oculocutaneous, 203200 | Albinism, oculocutaneous, type II, 203200 | Skin/hair/eye pigmentation 1, blond/brown hair, 227220 | Skin/hair/eye pigmentation 1, blue/nonblue eyes, 227220"
ENSG00000077498,606933,"Albinism, oculocutaneous, type IA, 203100 | Albinism, oculocutaneous, type IB, 606952 | Waardenburg syndrome/albinism, digenic, 103470 | Skin/hair/eye pigmentation 3, blue/green eyes, 601800 | Skin/hair/eye pigmentation 3, light/dark/freckling skin, 601800 | Melanoma, cutaneous malignant, susceptibility to, 8, 601800"
ENSG00000107165,115501,"Albinism, oculocutaneous, type III, 203290 | Skin/hair/eye pigmentation, variation in, 11 (Melanesian blond hair), 612271"
ENSG00000164175,606202,"Albinism, oculocutaneous, type IV, 606574 | Skin/hair/eye pigmentation 5, black/nonblack hair, 227240 | Skin/hair/eye pigmentation 5, dark/fair skin, 227240 | Skin/hair/eye pigmentation 5, dark/light eyes, 227240"
ENSG00000188467,609802,"Albinism, oculocutaneous, type VI, 113750 | Skin/hair/eye pigmentation 4, fair/dark skin, 113750"
ENSG00000148655,614537,"Albinism, oculocutaneous, type VII, 615179"
ENSG00000248144,103730,"Alcohol dependence, protection against, 103780 | Parkinson disease, susceptibility to, 168600"
ENSG00000151834,137140,"Alcohol dependence, susceptibility to, 103780"
ENSG00000102468,182135,"Alcohol dependence, susceptibility to, 103780 | Anorexia nervosa, susceptibility to, 606788 | Major depressive disorder, response to citalopram therapy in, 608516 | Obsessive-compulsive disorder, susceptibility to, 164230 | Schizophrenia, susceptibility to, 181500 | Seasonal affective disorder, susceptibility to, 608516"
ENSG00000111275,100650,"Alcohol sensitivity, acute, 610251 | Esophageal cancer, alcohol-related, susceptibility to | Hangover, susceptibility to, 610251 | Sublingual nitroglycerin, susceptibility to poor response to"
ENSG00000179142,124080,"Aldosterone to renin ratio raised | Hypoaldosteronism, congenital, due to CMO I deficiency, 203400 | Hypoaldosteronism, congenital, due to CMO II deficiency, 610600 | Low renin hypertension, susceptibility to"
ENSG00000131095,137780,"Alexander disease, 203450"
ENSG00000113924,607474,"Alkaptonuria, 203500"
ENSG00000147100,300095,"Allan-Herndon-Dudley syndrome, 300523"
ENSG00000169194,147683,"Allergic rhinitis, susceptibility to, 607154 | Asthma, susceptibility to, 600807"
ENSG00000168453,602302,"Alopecia universalis, 203655 | Atrichia with papular lesions, 209500 | Hypotrichosis 4, 146550"
ENSG00000106344,612074,"Alopecia, neurologic defects, and endocrinopathy syndrome, 612079"
ENSG00000196136,107280,"Alpha-1-antichymotrypsin deficiency | Cerebrovascular disease, occlusive"
ENSG00000175899,103950,"Alpha-2-macroglobulin deficiency, 614036 | Alzheimer disease, susceptibility to, 104300"
ENSG00000167711,613168,"Alpha-2-plasmin inhibitor deficiency, 262850"
ENSG00000248746,102574,"Alpha-actinin-3 deficiency, 617749 | Sprinting performance, 617749"
ENSG00000081051,104150,"Alpha-fetoprotein deficiency, 615969 | Hereditary persistence of alpha-fetoprotein, 615970"
ENSG00000105953,613022,"Alpha-ketoglutarate dehydrogenase deficiency, 203740"
ENSG00000075239,607809,"Alpha-methylacetoacetic aciduria, 203750"
ENSG00000242110,604489,"Alpha-methylacyl-CoA racemase deficiency, 614307 | Bile acid synthesis defect, congenital, 4, 214950"
ENSG00000085224,300032 300504,"Alpha-thalassemia myelodysplasia syndrome, somatic, 300448 | Alpha-thalassemia/mental retardation syndrome, 301040 | Mental retardation-hypotonic facies syndrome, X-linked, 309580 | Mental retardation, X-linked 52"
ENSG00000166349,179615,"Alpha/beta T-cell lymphopenia with gamma/delta T-cell expansion, severe cytomegalovirus infection, and a | Combined cellular and humoral immune defects with granulomas, 233650 | Omenn syndrome, 603554 | Severe combined immunodeficiency, B cell-negative, 601457"
ENSG00000188153,303630,"Alport syndrome, 301050"
ENSG00000169031,120070,"Alport syndrome, autosomal dominant, 104200 | Alport syndrome, autosomal recessive, 203780 | Hematuria, benign familial, 141200"
ENSG00000081052,120131,"Alport syndrome, autosomal recessive, 203780 | Hematuria, familial benign"
ENSG00000116127,606844,"Alstrom syndrome, 203800"
ENSG00000105409,182350,"Alternating hemiplegia of childhood 2, 614820 | CAPOS syndrome, 601338 | Dystonia-12, 128235"
ENSG00000018625,182340,"Alternating hemiplegia of childhood, 104290 | Migraine, familial basilar, 602481 | Migraine, familial hemiplegic, 2, 602481"
ENSG00000103241,601089,"Alveolar capillary dysplasia with misalignment of pulmonary veins, 265380"
ENSG00000169696,606236,"Alveolar soft-part sarcoma, 606243"
ENSG00000142192,104760,"Alzheimer disease 1, familial, 104300 | Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants, 605714"
ENSG00000064687,605414,"Alzheimer disease 9, susceptibility to, 608907"
ENSG00000130203,107741,"Alzheimer disease-2, 104310 | Hyperlipoproteinemia, type III, 617347 | Lipoprotein glomerulopathy, 611771 | Sea-blue histiocyte disease, 269600 |  Macular degeneration, age-related, 603075 | Coronary artery disease, severe, susceptibility to, 617347"
ENSG00000143801,600759,"Alzheimer disease-4, 606889 | Cardiomyopathy, dilated, 1V, 613697"
ENSG00000164867,163729,"Alzheimer disease, late-onset, susceptibility to, 104300 | Coronary artery spasm 1, susceptibility to | Hypertension, pregnancy-induced, 189800 | Hypertension, susceptibility to, 145500 | Ischemic stroke, susceptibility to, 601367 | Placental abruption"
ENSG00000119714,601404,"Amelogenesis imperfecta, hypomaturation type, IIA6, 617217"
ENSG00000125363,300391,"Amelogenesis imperfecta, type 1E, 301200"
ENSG00000196878,150310,"Amelogenesis imperfecta, type IA, 104530 | Epidermolysis bullosa, junctional, Herlitz type, 226700 | Epidermolysis bullosa, junctional, non-Herlitz type, 226650"
ENSG00000132464,606585,"Amelogenesis imperfecta, type IB, 104500 | Amelogenesis imperfecta, type IC, 204650"
ENSG00000178522,601259,"Amelogenesis imperfecta, type IF, 616270"
ENSG00000108950,611062,"Amelogenesis imperfecta, type IG (enamel-renal syndrome), 204690"
ENSG00000115221,147558,"Amelogenesis imperfecta, type IH, 616221"
ENSG00000167749,603767,"Amelogenesis imperfecta, type IIA1, 204700"
ENSG00000137674,604629,"Amelogenesis imperfecta, type IIA2, 612529"
ENSG00000166415,613214,"Amelogenesis imperfecta, type IIA3, 613211"
ENSG00000174792,614829,"Amelogenesis imperfecta, type IIA4, 614832"
ENSG00000140090,609840,"Amelogenesis imperfecta, type IIA5, 615887 | Skin/hair/eye pigmentation 6, blond/brown hair, 210750 | Skin/hair/eye pigmentation 6, blue/green eyes, 210750"
ENSG00000180921,611927,"Amelogenesis imperfecta, type IIIA, 130900"
ENSG00000187689,610912,"Amelogenesis imperfecta, type IIIB, 617607"
ENSG00000142513,606362,"Amelogenesis imperfecta, type IJ, 617297"
ENSG00000064195,600525,"Amelogenesis imperfecta, type IV, 104510 | Trichodontoosseous syndrome, 190320"
ENSG00000243989,104620,"Aminoacylase 1 deficiency, 609924"
ENSG00000133805,102772,"AMP deaminase deficiency, erythrocytic, 612874"
ENSG00000118137,107680,"Amyloidosis, 3 or more types, 105200 | ApoA-I and apoC-III deficiency, combined | Corneal clouding, autosomal recessive | Hypoalphalipoproteinemia, 604091"
ENSG00000166710,109700,"Amyloidosis, familial visceral, 105200 | Immunodeficiency 43, 241600"
ENSG00000148180,137350,"Amyloidosis, Finnish type, 105120"
ENSG00000118271,176300,"Amyloidosis, hereditary, transthyretin-related, 105210 | Carpal tunnel syndrome, familial, 115430 | Dystransthyretinemic hyperthyroxinemia, 145680"
ENSG00000145623,601743,"Amyloidosis, primary localized cutaneous, 1, 105250"
ENSG00000164509,609510,"Amyloidosis, primary localized cutaneous, 2, 613955"
ENSG00000090382,153450,"Amyloidosis, renal, 105200"
ENSG00000142168,147450,"Amyotrophic lateral sclerosis 1, 105400"
ENSG00000120948,605078,"Amyotrophic lateral sclerosis 10, with or without FTD, 612069 | Frontotemporal lobar degeneration, TARDBP-related, 612069"
ENSG00000123240,602432,"Amyotrophic lateral sclerosis 12, 613435 | Glaucoma 1, open angle, E, 137760 | Glaucoma, normal tension, susceptibility to, 606657"
ENSG00000165280,601023,"Amyotrophic lateral sclerosis 14, with or without frontotemporal dementia, 613954 | Charcot-Marie-Tooth disease, type 2Y, 616687 | Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia 1, 167320"
ENSG00000188021,300264,"Amyotrophic lateral sclerosis 15, with or without frontotemporal dementia, 300857"
ENSG00000147955,601978,"Amyotrophic lateral sclerosis 16, juvenile, 614373 | Spinal muscular atrophy, distal, autosomal recessive, 2, 605726"
ENSG00000083937,609512,"Amyotrophic lateral sclerosis 17, 614696 | Dementia, familial, nonspecific, 600795"
ENSG00000108518,176610,"Amyotrophic lateral sclerosis 18, 614808"
ENSG00000178568,600543,"Amyotrophic lateral sclerosis 19, 615515"
ENSG00000003393,606352,"Amyotrophic lateral sclerosis 2, juvenile, 205100 | Primary lateral sclerosis, juvenile, 606353 | Spastic paralysis, infantile onset ascending, 607225"
ENSG00000015479,164015,"Amyotrophic lateral sclerosis 21, 606070"
ENSG00000127824,191110,"Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia, 616208"
ENSG00000107290,608465,"Amyotrophic lateral sclerosis 4, juvenile, 602433 | Spinocerebellar ataxia, autosomal recessive 1, 606002"
ENSG00000104133,610844,"Amyotrophic lateral sclerosis 5, juvenile, 602099 | Charcot-Marie-Tooth disease, axonal, type 2X, 616668 | Spastic paraplegia 11, autosomal recessive, 604360"
